Date,rate_BA,rate_VOO,Sector,rate_GE
2022-01-03,0.0,0.0,Industrials,0.0
2022-01-04,1.38,-0.02,Industrials,1.62
2022-01-05,1.25,-0.97,Industrials,1.62
2022-01-06,0.83,-1.04,Industrials,1.92
2022-01-07,1.83,-1.21,Industrials,2.67
2022-01-10,0.35,-1.27,Industrials,1.65
2022-01-11,2.74,-0.63,Industrials,3.47
2022-01-12,3.25,-0.4,Industrials,3.81
2022-01-13,5.55,-1.43,Industrials,3.98
2022-01-14,6.28,-1.41,Industrials,4.52
2022-01-18,5.94,-2.7,Industrials,4.31
2022-01-19,3.12,-3.45,Industrials,2.57
2022-01-20,2.09,-4.24,Industrials,0.75
2022-01-21,-1.03,-5.63,Industrials,-0.75
2022-01-24,-1.47,-5.34,Industrials,-0.28
2022-01-25,-1.52,-6.33,Industrials,-5.48
2022-01-26,-5.64,-6.51,Industrials,-7.08
2022-01-27,-7.53,-6.91,Industrials,-6.56
2022-01-28,-7.19,-4.96,Industrials,-4.59
2022-01-31,-3.14,-3.46,Industrials,-2.46
2022-02-01,0.48,-2.79,Industrials,0.86
2022-02-02,0.13,-1.97,Industrials,0.94
2022-02-03,-0.36,-4.0,Industrials,1.2
2022-02-04,-0.34,-3.6,Industrials,1.85
2022-02-07,2.04,-3.88,Industrials,2.68
2022-02-08,2.65,-3.15,Industrials,2.1
2022-02-09,3.83,-1.81,Industrials,2.04
2022-02-10,5.15,-3.44,Industrials,1.59
2022-02-11,2.21,-5.24,Industrials,-0.33
2022-02-14,1.18,-5.53,Industrials,-0.55
2022-02-15,4.78,-4.08,Industrials,3.78
2022-02-16,5.34,-3.98,Industrials,4.27
2022-02-17,2.84,-5.93,Industrials,1.31
2022-02-18,0.71,-6.5,Industrials,-4.47
2022-02-22,-4.09,-7.48,Industrials,-3.01
2022-02-23,-5.18,-9.06,Industrials,-4.51
2022-02-24,-4.24,-7.73,Industrials,-4.62
2022-02-25,-2.81,-5.81,Industrials,-0.78
2022-02-28,-1.01,-6.04,Industrials,-1.65
2022-03-01,-5.75,-7.18,Industrials,-4.73
2022-03-02,-4.42,-5.58,Industrials,-2.93
2022-03-03,-8.52,-6.03,Industrials,-4.61
2022-03-04,-12.18,-6.74,Industrials,-7.87
2022-03-07,-17.51,-9.33,Industrials,-11.57
2022-03-08,-15.34,-9.98,Industrials,-8.77
2022-03-09,-13.11,-7.69,Industrials,-5.65
2022-03-10,-13.19,-8.09,Industrials,-5.56
2022-03-11,-14.2,-9.21,Industrials,-4.61
2022-03-14,-14.53,-9.84,Industrials,-4.43
2022-03-15,-12.45,-7.92,Industrials,-4.54
2022-03-16,-8.11,-5.92,Industrials,-2.14
2022-03-17,-7.54,-4.8,Industrials,-1.29
2022-03-18,-6.28,-3.77,Industrials,-1.23
2022-03-21,-9.58,-3.77,Industrials,-2.01
2022-03-22,-7.11,-2.68,Industrials,-1.93
2022-03-23,-9.52,-3.9,Industrials,-3.16
2022-03-24,-8.07,-2.83,Industrials,-2.73
2022-03-25,-8.12,-2.35,Industrials,-2.84
2022-03-28,-8.5,-1.69,Industrials,-4.91
2022-03-29,-5.79,-0.48,Industrials,-2.18
2022-03-30,-5.25,-1.09,Industrials,-2.25
2022-03-31,-6.89,-2.57,Industrials,-5.42
2022-04-01,-7.04,-2.24,Industrials,-4.27
2022-04-04,-6.84,-1.45,Industrials,-4.74
2022-04-05,-10.88,-2.62,Industrials,-6.69
2022-04-06,-12.75,-3.57,Industrials,-6.88
2022-04-07,-13.1,-3.1,Industrials,-7.34
2022-04-08,-14.42,-3.33,Industrials,-7.06
2022-04-11,-14.5,-4.94,Industrials,-7.13
2022-04-12,-13.9,-5.28,Industrials,-6.79
2022-04-13,-10.75,-4.23,Industrials,-6.02
2022-04-14,-11.19,-5.37,Industrials,-5.94
2022-04-18,-12.19,-5.35,Industrials,-6.38
2022-04-19,-9.24,-3.88,Industrials,-4.84
2022-04-20,-10.41,-3.95,Industrials,-5.35
2022-04-21,-11.63,-5.34,Industrials,-5.02
2022-04-22,-13.6,-7.86,Industrials,-7.75
2022-04-25,-14.09,-7.37,Industrials,-6.92
2022-04-26,-18.36,-9.95,Industrials,-16.5
2022-04-27,-24.43,-9.73,Industrials,-18.95
2022-04-28,-24.54,-7.52,Industrials,-19.45
2022-04-29,-27.13,-10.83,Industrials,-22.73
2022-05-02,-26.47,-9.99,Industrials,-21.08
2022-05-03,-24.08,-9.62,Industrials,-18.92
2022-05-04,-22.46,-6.99,Industrials,-16.09
2022-05-05,-25.57,-10.13,Industrials,-17.97
2022-05-06,-26.33,-10.67,Industrials,-18.34
2022-05-09,-33.8,-13.43,Industrials,-23.72
2022-05-10,-33.97,-13.22,Industrials,-23.36
2022-05-11,-35.7,-14.58,Industrials,-24.26
2022-05-12,-38.74,-14.64,Industrials,-23.4
2022-05-13,-36.77,-12.68,Industrials,-21.57
2022-05-16,-38.3,-12.99,Industrials,-22.0
2022-05-17,-34.38,-11.29,Industrials,-20.17
2022-05-18,-37.58,-14.71,Industrials,-21.41
2022-05-19,-36.79,-15.27,Industrials,-20.85
2022-05-20,-39.94,-15.25,Industrials,-21.36
2022-05-23,-38.29,-13.68,Industrials,-21.14
2022-05-24,-40.58,-14.29,Industrials,-22.12
2022-05-25,-39.28,-13.59,Industrials,-22.11
2022-05-26,-36.5,-11.92,Industrials,-19.53
2022-05-27,-34.29,-9.77,Industrials,-17.71
2022-05-31,-34.7,-10.26,Industrials,-18.2
2022-06-01,-34.09,-10.69,Industrials,-18.47
2022-06-02,-29.29,-9.06,Industrials,-17.98
2022-06-03,-29.91,-10.5,Industrials,-19.05
2022-06-06,-29.91,-10.26,Industrials,-19.02
2022-06-07,-29.13,-9.4,Industrials,-17.97
2022-06-08,-29.72,-10.37,Industrials,-18.85
2022-06-09,-32.66,-12.42,Industrials,-21.34
2022-06-10,-36.01,-14.93,Industrials,-25.05
2022-06-13,-41.56,-18.12,Industrials,-28.73
2022-06-14,-38.42,-18.32,Industrials,-28.38
2022-06-15,-32.66,-17.18,Industrials,-27.28
2022-06-16,-32.84,-19.83,Industrials,-31.27
2022-06-17,-31.13,-19.62,Industrials,-30.53
2022-06-21,-31.15,-17.71,Industrials,-30.79
2022-06-22,-30.95,-17.88,Industrials,-32.06
2022-06-23,-32.54,-17.04,Industrials,-32.55
2022-06-24,-28.77,-14.53,Industrials,-29.4
2022-06-27,-30.17,-14.84,Industrials,-29.79
2022-06-28,-30.18,-16.63,Industrials,-30.66
2022-06-29,-30.31,-16.92,Industrials,-32.95
2022-06-30,-31.17,-17.56,Industrials,-32.97
2022-07-01,-28.81,-16.28,Industrials,-32.21
2022-07-05,-29.85,-16.14,Industrials,-33.75
2022-07-06,-30.54,-15.85,Industrials,-34.23
2022-07-07,-28.7,-14.65,Industrials,-32.73
2022-07-08,-29.15,-14.7,Industrials,-32.46
2022-07-11,-30.2,-15.64,Industrials,-33.88
2022-07-12,-25.06,-16.4,Industrials,-32.7
2022-07-13,-26.68,-16.77,Industrials,-33.78
2022-07-14,-25.06,-16.99,Industrials,-34.75
2022-07-15,-24.76,-15.46,Industrials,-32.87
2022-07-18,-24.77,-16.14,Industrials,-32.0
2022-07-19,-20.51,-13.93,Industrials,-28.75
2022-07-20,-19.38,-13.4,Industrials,-27.52
2022-07-21,-17.84,-12.55,Industrials,-27.27
2022-07-22,-19.49,-13.32,Industrials,-27.21
2022-07-25,-20.26,-13.24,Industrials,-27.02
2022-07-26,-20.57,-14.25,Industrials,-23.67
2022-07-27,-20.49,-12.07,Industrials,-23.6
2022-07-28,-19.2,-10.99,Industrials,-21.94
2022-07-29,-19.1,-9.72,Industrials,-21.12
2022-08-01,-14.5,-9.72,Industrials,-18.61
2022-08-02,-16.57,-10.15,Industrials,-19.75
2022-08-03,-15.37,-9.12,Industrials,-19.45
2022-08-04,-15.42,-9.18,Industrials,-20.3
2022-08-05,-15.94,-9.31,Industrials,-19.75
2022-08-08,-15.64,-9.37,Industrials,-19.1
2022-08-09,-15.99,-9.62,Industrials,-19.28
2022-08-10,-14.56,-8.33,Industrials,-17.66
2022-08-11,-14.96,-8.33,Industrials,-16.36
2022-08-12,-14.23,-7.26,Industrials,-15.6
2022-08-15,-14.07,-6.98,Industrials,-15.69
