Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2022-01-01,56693896.00,55059108.00,56860932.00,55031456.00,56693896.00,29225841148116,,,,,,,,56693896.00,,,0.00,False,False,56693896.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,Monthly invest,,,,BTC/KRW,0.00
2022-01-02,56288032.00,56686900.00,56925248.00,55707276.00,56288032.00,33231206401082,,,,,,,,56693896.00,,,-0.05,False,False,56288032.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,,,,BTC/KRW,-0.02
2022-01-03,55549032.00,56286036.00,56681504.00,54817388.00,55549032.00,39543078679445,,,,,,,,56693896.00,,,-0.16,False,False,55549032.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,week +buy 50% ,,,,BTC/KRW,-0.97
2022-01-04,54962304.00,55549912.00,56748504.00,54802988.00,54962304.00,50887335571155,,,,,,,,56693896.00,,,-0.28,False,False,54962304.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,,,,BTC/KRW,-1.04
2022-01-05,52293708.00,54964436.00,56202344.00,51356056.00,52293708.00,44230523372262,,,55157394.40,,,,,56693896.00,,,-0.65,False,False,52293708.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,,,,BTC/KRW,-1.21
2022-01-06,51982264.00,52289516.00,52487692.00,51432244.00,51982264.00,36382041546443,,,54215068.00,,,,,56693896.00,,,-0.89,False,False,51982264.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,,,,BTC/KRW,-1.27
2022-01-07,49772028.00,51973400.00,51973400.00,49417400.00,49772028.00,100838487979479,,,52911867.20,,,,,56693896.00,,,-1.24,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,,,,BTC/KRW,-0.63
2022-01-08,49978692.00,49776296.00,50571480.00,48707288.00,49978692.00,33611004774048,,,51797799.20,,,,,56693896.00,,,-1.38,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,,,,BTC/KRW,-0.40
2022-01-09,50194920.00,49979632.00,51092428.00,49504720.00,50194920.00,25502959822264,,,50844322.40,,,,,56693896.00,,,-1.36,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,,,,BTC/KRW,-1.43
2022-01-10,50108356.00,50193276.00,50651872.00,47751820.00,50108356.00,38465846488163,,,50407252.00,,,,,56693896.00,,,-1.28,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,week +buy 50% ,,,,BTC/KRW,-1.41
2022-01-11,50834512.00,50106252.00,51156112.00,49441760.00,50834512.00,31316870005344,,,50177701.60,,,,,56693896.00,,,-1.06,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,,,,BTC/KRW,-2.70
2022-01-12,52121544.00,50842036.00,52352584.00,50646944.00,52121544.00,39729335535076,,,50647604.80,,,,,56693896.00,,,-0.70,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,,,,BTC/KRW,-3.45
2022-01-13,50548744.00,52118748.00,52436780.00,50372852.00,50548744.00,56601031393454,,,50761615.20,,,,,56693896.00,,,-0.60,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,,,,BTC/KRW,-4.24
2022-01-14,51299848.00,50557408.00,51589972.00,49892240.00,51299848.00,28063240169463,,,50982600.80,,,,,56693896.00,,,-0.40,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,,,,BTC/KRW,-5.63
2022-01-15,51392328.00,51302468.00,52043728.00,50787244.00,51392328.00,21866681024802,,,51239395.20,,,,,56693896.00,,,-0.22,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,35.39,,,BTC/KRW,-5.34
2022-01-16,51314108.00,51385952.00,51701096.00,50813420.00,51314108.00,21307063911389,,,51335314.40,,,,,56693896.00,,,-0.08,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,34.99,,,BTC/KRW,-6.33
2022-01-17,50323360.00,51319156.00,51392080.00,49641148.00,50323360.00,25835385338333,,,50975677.60,,,,,56693896.00,,,-0.08,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,week +buy 50% ,30.34,,,BTC/KRW,-6.51
2022-01-18,50556432.00,50322796.00,50758004.00,49340768.00,50556432.00,26744949274542,,,50977215.20,,,,,56693896.00,,,-0.03,False,False,49772028.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,32.61,,,BTC/KRW,-6.91
2022-01-19,49602700.00,50554536.00,50475700.00,49168952.00,49602700.00,27438526276174,,,50637785.60,,,,,56693896.00,,,-0.10,False,False,49602700.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,28.51,,,BTC/KRW,-4.96
2022-01-20,48511604.00,49602340.00,51581804.00,48502544.00,48511604.00,24305677383117,56272193.42,42604874.95,50061640.80,51716420.60,,,,56693896.00,,,-0.24,False,False,48511604.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,24.69,,,BTC/KRW,-3.46
2022-01-21,43478996.00,48534484.00,49030648.00,42684856.00,43478996.00,51296101696393,56311597.09,40543832.62,48494618.40,51055675.60,,,,56693896.00,,,-0.94,False,False,43478996.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,14.83,,,BTC/KRW,-2.79
2022-01-22,41777080.00,43496020.00,43755076.00,40964916.00,41777080.00,47363376033665,56434387.99,38121608.02,46785362.40,50330128.00,,,,56693896.00,,,-1.55,False,False,41777080.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,12.94,6.33,,BTC/KRW,-1.97
2022-01-23,43258040.00,41797480.00,43444664.00,41484552.00,43258040.00,31024965056771,56064341.99,37018051.22,45325684.00,49715578.40,,,,56693896.00,,,-1.64,False,False,41777080.00,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,22.20,8.42,,BTC/KRW,-4.00
