Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker
2022-01-03,33.47,33.52,33.80,31.88,33.47,64286500,,,,,,,,33.47,,,0.00,False,False,33.47,31000000.00,0,15510083.54,15489916.46,356.00,0.00,31000000,week +buy 50% Monthly invest,,,,NIO
2022-01-04,31.58,33.35,33.39,31.11,31.58,47866800,,,,,,,,33.47,,,-0.36,False,False,31.58,30125307.54,0,15510083.54,14615224.00,356.00,-2.82,31000000,,,,,NIO
2022-01-05,29.88,30.97,31.94,29.78,29.88,42442700,,,,,,,,33.47,,,-0.90,False,False,29.88,29338547.07,0,15510083.54,13828463.54,356.00,-5.36,31000000,,,,,NIO
2022-01-06,29.31,30.01,30.54,28.28,29.31,48723200,,,,,,,,33.47,,,-1.31,False,False,29.31,29074751.07,0,15510083.54,13564667.54,356.00,-6.21,31000000,,,,,NIO
2022-01-07,29.30,29.45,30.42,28.78,29.30,40781500,,,30.71,,,,,33.47,,,-1.50,False,False,29.30,29070123.07,0,15510083.54,13560039.54,356.00,-6.23,31000000,,,,,NIO
2022-01-10,28.91,29.00,29.16,27.78,28.91,44833600,,,29.80,,,,,33.47,,,-1.62,False,False,28.91,28889631.54,0,7767985.54,21121646.00,562.00,-6.81,31000000,week +buy 50% ,,,,NIO
2022-01-11,30.02,28.85,30.44,28.47,30.02,41475700,,,29.48,,,,,33.47,,,-1.38,False,False,28.91,29700597.54,0,7767985.54,21932612.00,562.00,-4.19,31000000,,,,,NIO
2022-01-12,31.68,31.20,31.86,30.34,31.68,54271700,,,29.84,,,,,33.47,,,-0.80,False,False,28.91,30913393.54,0,7767985.54,23145408.00,562.00,-0.28,31000000,,,,,NIO
2022-01-13,30.48,31.68,31.85,30.48,30.48,35401300,,,30.08,,,,,33.47,,,-0.63,False,False,28.91,30036673.54,0,7767985.54,22268688.00,562.00,-3.11,31000000,,,,,NIO
2022-01-14,30.95,30.28,31.32,30.08,30.95,34862600,,,30.41,,,,,33.47,,,-0.37,False,False,28.91,30380056.27,0,7767985.54,22612070.73,562.00,-2.00,31000000,,,,,NIO
