Date,rate_BTC-KRW,rate_VOO,Sector
2022-01-01,0.0,0.0,Unknown
2022-01-02,0.0,-0.02,Unknown
2022-01-03,0.0,-0.97,Unknown
2022-01-04,0.0,-1.04,Unknown
2022-01-05,0.0,-1.21,Unknown
2022-01-06,0.0,-1.27,Unknown
2022-01-07,0.0,-0.63,Unknown
2022-01-08,0.0,-0.4,Unknown
2022-01-09,0.0,-1.43,Unknown
2022-01-10,0.0,-1.41,Unknown
2022-01-11,0.0,-2.7,Unknown
2022-01-12,0.0,-3.45,Unknown
2022-01-13,0.0,-4.24,Unknown
2022-01-14,0.0,-5.63,Unknown
2022-01-15,0.0,-5.34,Unknown
2022-01-16,0.0,-6.33,Unknown
2022-01-17,0.0,-6.51,Unknown
2022-01-18,0.0,-6.91,Unknown
2022-01-19,0.0,-4.96,Unknown
2022-01-20,0.0,-3.46,Unknown
2022-01-21,0.0,-2.79,Unknown
2022-01-22,0.0,-1.97,Unknown
2022-01-23,0.0,-4.0,Unknown
2022-01-24,0.0,-3.6,Unknown
2022-01-25,0.0,-3.88,Unknown
2022-01-26,0.0,-3.15,Unknown
2022-01-27,0.0,-1.81,Unknown
2022-01-28,0.0,-3.44,Unknown
2022-01-29,0.0,-5.24,Unknown
2022-01-30,0.0,-5.53,Unknown
2022-01-31,0.0,-4.08,Unknown
2022-02-01,0.0,-3.98,Unknown
2022-02-02,0.0,-5.93,Unknown
2022-02-03,0.0,-6.5,Unknown
2022-02-04,0.0,-7.48,Unknown
2022-02-05,0.0,-9.06,Unknown
2022-02-06,0.0,-7.73,Unknown
2022-02-07,0.0,-5.81,Unknown
2022-02-08,0.0,-6.04,Unknown
2022-02-09,0.0,-7.18,Unknown
2022-02-10,0.0,-5.58,Unknown
2022-02-11,0.0,-6.03,Unknown
2022-02-12,0.0,-6.74,Unknown
2022-02-13,0.0,-9.33,Unknown
2022-02-14,0.0,-9.98,Unknown
2022-02-15,0.0,-7.69,Unknown
2022-02-16,0.0,-8.09,Unknown
2022-02-17,0.0,-9.21,Unknown
2022-02-18,0.0,-9.84,Unknown
2022-02-19,0.0,-7.92,Unknown
2022-02-20,0.0,-5.92,Unknown
2022-02-21,0.0,-4.8,Unknown
2022-02-22,0.0,-3.77,Unknown
2022-02-23,0.0,-3.77,Unknown
2022-02-24,0.0,-2.68,Unknown
2022-02-25,0.0,-3.9,Unknown
2022-02-26,0.0,-2.83,Unknown
2022-02-27,0.0,-2.35,Unknown
2022-02-28,0.0,-1.69,Unknown
2022-03-01,0.0,-0.48,Unknown
2022-03-02,0.0,-1.09,Unknown
2022-03-03,0.0,-2.57,Unknown
2022-03-04,0.0,-2.24,Unknown
2022-03-05,0.0,-1.45,Unknown
2022-03-06,0.0,-2.62,Unknown
2022-03-07,0.0,-3.57,Unknown
2022-03-08,0.0,-3.1,Unknown
2022-03-09,0.0,-3.33,Unknown
2022-03-10,0.0,-4.94,Unknown
2022-03-11,0.0,-5.28,Unknown
2022-03-12,0.0,-4.23,Unknown
2022-03-13,0.0,-5.37,Unknown
2022-03-14,0.0,-5.35,Unknown
2022-03-15,0.0,-3.88,Unknown
2022-03-16,0.0,-3.95,Unknown
2022-03-17,0.0,-5.34,Unknown
2022-03-18,0.0,-7.86,Unknown
2022-03-19,0.0,-7.37,Unknown
2022-03-20,0.0,-9.95,Unknown
2022-03-21,0.0,-9.73,Unknown
2022-03-22,0.0,-7.52,Unknown
2022-03-23,0.0,-10.83,Unknown
2022-03-24,0.0,-9.99,Unknown
2022-03-25,0.0,-9.62,Unknown
2022-03-26,0.0,-6.99,Unknown
2022-03-27,0.0,-10.13,Unknown
2022-03-28,0.0,-10.67,Unknown
2022-03-29,0.0,-13.43,Unknown
2022-03-30,0.0,-13.22,Unknown
2022-03-31,0.0,-14.58,Unknown
2022-04-01,0.0,-14.64,Unknown
2022-04-02,0.0,-12.68,Unknown
2022-04-03,0.0,-12.99,Unknown
2022-04-04,0.0,-11.29,Unknown
2022-04-05,0.0,-14.71,Unknown
2022-04-06,0.0,-15.27,Unknown
2022-04-07,0.0,-15.25,Unknown
2022-04-08,0.0,-13.68,Unknown
2022-04-09,0.0,-14.29,Unknown
2022-04-10,0.0,-13.59,Unknown
2022-04-11,0.0,-11.92,Unknown
2022-04-12,0.0,-9.77,Unknown
2022-04-13,0.0,-10.26,Unknown
2022-04-14,0.0,-10.69,Unknown
