Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2022-01-03,255.51,259.20,260.20,253.07,255.51,5302100,,,,,,,,255.51,,,0.00,False,False,255.51,31000000.00,0,15720502.30,15279497.70,46.00,0.00,31000000,week +buy 50% Monthly invest,,,,LOW,0.00
2022-01-04,259.81,255.64,260.83,255.60,259.81,3638200,,,,,,,,259.81,,,0.11,False,False,255.51,31257140.18,0,15720502.30,15536637.88,46.00,0.83,31000000,,,,,LOW,-0.02
2022-01-05,254.75,258.71,259.44,254.72,254.75,3808600,,,,,,,,259.81,,,0.04,False,False,254.75,30954552.30,0,15720502.30,15234050.00,46.00,-0.15,31000000,,,,,LOW,-0.97
2022-01-06,257.79,257.64,258.45,255.00,257.79,3616300,,,,,,,,259.81,,,0.07,False,False,254.75,31136344.84,0,15720502.30,15415842.54,46.00,0.44,31000000,,,,,LOW,-1.04
2022-01-07,251.09,255.70,257.38,250.71,251.09,4945500,,,255.79,,,,,259.81,,,-0.08,False,False,251.09,30735684.06,0,15720502.30,15015181.76,46.00,-0.85,31000000,,,,,LOW,-1.21
2022-01-10,247.69,247.89,248.10,240.57,247.69,6292400,,,254.23,,,,,259.81,,,-0.25,False,False,247.69,30532364.42,0,7992574.24,22539790.18,70.00,-1.51,31000000,week +buy 50% ,,,,LOW,-1.27
2022-01-11,249.50,247.91,249.95,244.68,249.50,3415000,,,252.16,,,,,259.81,,,-0.31,False,False,247.69,30697074.24,0,7992574.24,22704500.00,70.00,-0.98,31000000,,,,,LOW,-0.63
2022-01-12,250.72,251.19,254.71,249.94,250.72,2825500,,,251.36,,,,,259.81,,,-0.29,False,False,247.69,30808094.33,0,7992574.24,22815520.09,70.00,-0.62,31000000,,,,,LOW,-0.40
2022-01-13,250.70,253.08,253.75,250.09,250.70,2243400,,,249.94,,,,,259.81,,,-0.27,False,False,247.69,30806273.96,0,7992574.24,22813699.73,70.00,-0.62,31000000,,,,,LOW,-1.43
2022-01-14,243.40,247.30,248.70,241.47,243.40,3258500,,,248.40,,,,,259.81,,,-0.42,False,False,243.40,30141973.69,0,7992574.24,22149399.45,70.00,-2.77,31000000,,,,,LOW,-1.41
2022-01-18,238.41,239.20,239.60,234.27,238.41,4612500,,,246.55,,,,,259.81,,,-0.62,False,False,238.41,29687884.60,0,7992574.24,21695310.36,70.00,-4.23,31000000,,,,,LOW,-2.70
2022-01-19,234.70,239.63,241.16,234.27,234.70,4146800,,,243.59,,,,,259.81,,,-0.80,False,False,234.70,29350273.96,0,7992574.24,21357699.73,70.00,-5.32,31000000,,,,,LOW,-3.45
2022-01-20,223.93,236.27,237.59,223.34,223.93,5946600,,,238.23,,,,,259.81,,,-1.16,False,False,223.93,28370203.60,0,7992574.24,20377629.36,70.00,-8.48,31000000,,,,,LOW,-4.24
2022-01-21,225.02,222.89,229.85,221.50,225.02,5724400,,,233.09,,,,,259.81,,,-1.29,False,False,223.93,28469394.60,0,7992574.24,20476820.36,70.00,-8.16,31000000,,,,,LOW,-5.63
2022-01-24,232.35,220.53,232.71,220.20,232.35,4911600,,,230.88,,,,,259.81,,,-1.10,False,False,223.93,29136424.78,0,4065859.14,25070565.65,83.00,-6.01,31000000,week +buy 50% ,31.77,,,LOW,-5.34
2022-01-25,230.01,227.50,231.94,224.51,230.01,4099200,,,229.20,,,,,259.81,,,-0.97,False,False,223.93,28883937.60,0,4065859.14,24818078.46,83.00,-6.83,31000000,,29.93,,,LOW,-6.33
2022-01-26,228.10,232.56,235.00,225.74,228.10,4349200,,,227.88,,,,,259.81,,,-0.88,False,False,223.93,28677849.78,0,4065859.14,24611990.65,83.00,-7.49,31000000,,28.49,,,LOW,-6.51
2022-01-27,225.93,230.66,233.17,223.95,225.93,3425800,,,228.28,,,,,259.81,,,-0.82,False,False,223.93,28443705.38,0,4065859.14,24377846.24,83.00,-8.25,31000000,,26.90,,,LOW,-6.91
2022-01-28,234.99,227.99,235.14,224.48,234.99,3215500,,,230.28,,,,,259.81,,,-0.47,False,False,223.93,29421280.67,0,4065859.14,25355421.54,83.00,-5.09,31000000,,41.57,,,LOW,-4.96
2022-01-31,237.35,233.99,237.61,232.66,237.35,4485900,264.71,195.34,231.28,241.59,,,,259.81,,,-0.15,False,False,223.93,29675924.78,0,2214529.09,27461395.69,89.00,-4.27,31000000,week +buy 50% ,44.68,,,LOW,-3.46
2022-02-01,238.35,238.45,239.48,233.82,238.35,2723800,262.98,196.23,232.94,240.73,,,,259.81,,,0.12,False,False,223.93,30791624.78,0,3214529.09,27577095.69,89.00,-3.78,32000000,Monthly invest,46.00,,,LOW,-2.79
2022-02-02,239.11,238.61,240.71,236.45,239.11,2442900,260.15,198.78,235.15,239.69,,,,259.81,,,0.32,False,False,223.93,30879556.20,0,3214529.09,27665027.12,89.00,-3.50,32000000,,47.02,45.02,,LOW,-1.97
2022-02-03,234.11,236.00,239.49,233.81,234.11,2512000,258.03,199.93,236.78,238.66,,,,259.81,,,0.31,False,False,223.93,30301056.20,0,3214529.09,27086527.12,89.00,-5.31,32000000,,41.43,43.08,,LOW,-4.00
2022-02-04,229.07,234.15,234.15,225.17,229.07,3456700,254.89,201.89,235.60,237.23,,,,259.81,,,0.18,False,False,223.93,29717928.90,0,3214529.09,26503399.81,89.00,-7.13,32000000,,36.69,36.14,,LOW,-3.60
2022-02-07,227.02,230.52,230.98,224.53,227.02,2990100,253.01,202.04,233.53,236.02,,,,259.81,,,0.04,False,False,223.93,29480743.55,0,1738899.06,27741844.49,94.00,-7.87,32000000,week +buy 50% ,34.94,26.66,,LOW,-3.88
2022-02-08,231.76,227.20,232.62,225.86,231.76,2572400,251.43,202.82,232.21,235.23,,,,259.81,4.00,56.00,0.11,False,False,223.93,30059970.45,0,1738899.06,28321071.39,94.00,-6.06,32000000,,41.85,25.71,,LOW,-3.15
2022-02-09,233.66,234.52,236.48,232.84,233.66,2115100,249.26,204.78,231.12,234.43,,,,259.81,0.00,52.00,0.21,False,False,223.93,30292151.55,0,1738899.06,28553252.49,94.00,-5.34,32000000,,44.40,30.75,,LOW,-1.81
2022-02-10,227.40,230.69,232.86,225.79,227.40,3053800,246.35,207.10,229.78,233.27,,,,259.81,0.00,48.00,0.12,True,False,223.93,29527178.33,0,1738899.06,27788279.27,94.00,-7.73,32000000,,38.42,31.32,,LOW,-3.44
2022-02-11,225.91,227.52,229.72,224.76,225.91,2192800,242.76,210.57,229.15,232.03,,,,259.81,0.00,44.00,0.02,True,False,223.93,29345101.55,0,1738899.06,27606202.49,94.00,-8.30,32000000,,37.14,26.83,,LOW,-5.24
2022-02-14,225.95,223.77,227.02,223.12,225.95,2025700,240.83,211.81,228.94,231.16,,,,259.81,0.00,40.00,-0.01,True,False,223.93,29349988.70,0,1151429.07,28198559.63,96.00,-8.28,32000000,week +buy 50% ,37.20,22.98,,LOW,-5.53
2022-02-15,228.10,228.31,230.06,226.98,228.10,1843600,239.80,212.32,228.20,230.64,,,,259.81,8.00,36.00,0.04,False,False,223.93,29618309.82,0,1151429.07,28466880.75,96.00,-7.44,32000000,,40.52,28.39,31.69,LOW,-4.08
2022-02-16,227.01,226.52,228.17,223.51,227.01,2461300,239.35,212.07,226.87,230.26,,,,259.81,4.00,32.00,0.06,False,False,223.93,29482276.45,0,1151429.07,28330847.38,96.00,-7.87,32000000,,39.38,32.78,30.46,LOW,-3.98
2022-02-17,223.79,225.93,227.22,223.25,223.79,2482200,239.36,212.03,226.15,230.25,,,,259.81,0.00,28.00,-0.00,False,False,223.79,29080420.20,0,1151429.07,27928991.13,96.00,-9.12,32000000,,36.16,29.47,29.10,LOW,-5.93
2022-02-18,222.69,222.95,225.72,220.42,222.69,4241500,239.56,211.27,225.51,230.13,,,,259.81,0.00,24.00,-0.05,False,False,222.69,28943141.32,0,1151429.07,27791712.25,96.00,-9.55,32000000,,35.10,20.95,27.58,LOW,-6.50
2022-02-22,214.59,218.29,221.45,210.76,214.59,7641100,240.78,206.17,223.24,229.25,,,,259.81,0.00,100.00,-0.29,False,False,214.59,27932260.57,0,1151429.07,26780831.50,96.00,-12.71,32000000,,28.49,14.14,26.33,LOW,-7.48
2022-02-23,215.09,222.00,227.75,214.13,215.09,8936900,241.57,202.36,220.63,228.50,,,,259.81,4.00,96.00,-0.40,False,False,214.59,27994660.57,0,1151429.07,26843231.50,96.00,-12.52,32000000,,29.38,13.13,25.07,LOW,-9.06
2022-02-24,213.41,209.69,214.26,206.24,213.41,5749300,242.40,198.50,217.91,227.76,,,,259.81,0.00,100.00,-0.48,False,False,213.41,27784997.57,0,1151429.07,26633568.50,96.00,-13.17,32000000,,28.12,16.02,23.60,LOW,-7.73
2022-02-25,219.18,214.27,219.69,210.21,219.18,4613300,242.52,197.24,216.99,227.43,,,,259.81,36.00,96.00,-0.31,False,False,213.41,28505092.20,0,1151429.07,27353663.13,96.00,-10.92,32000000,,37.94,24.27,22.89,LOW,-5.81
2022-02-28,221.06,217.26,221.30,215.82,221.06,5440400,241.65,196.90,216.67,226.73,,,,259.81,32.00,92.00,-0.12,False,False,213.41,28739716.82,0,576673.08,28163043.75,98.00,-10.19,32000000,week +buy 50% ,40.78,33.78,23.59,LOW,-6.04
2022-03-01,221.50,221.38,224.44,220.23,221.50,3953200,240.18,197.45,218.05,225.94,,,,259.81,28.00,88.00,0.04,False,False,213.41,29795773.08,0,1576673.08,28219100.00,98.00,-9.71,33000000,Monthly invest,41.46,41.60,25.45,LOW,-7.18
2022-03-02,228.66,220.60,230.01,220.11,228.66,4513700,238.59,199.18,220.76,225.45,,,,259.81,24.00,84.00,0.37,False,False,213.41,30707957.58,0,1576673.08,29131284.51,98.00,-6.95,33000000,,51.21,50.77,27.69,LOW,-5.58
2022-03-03,226.28,229.12,230.72,225.06,226.28,3180700,236.38,201.68,223.34,224.81,,,,259.81,20.00,80.00,0.51,False,False,213.41,30404744.95,0,1576673.08,28828071.87,98.00,-7.86,33000000,,48.33,56.53,30.06,LOW,-6.03
2022-03-04,224.07,224.58,226.69,221.75,224.07,3144400,235.06,202.80,224.31,224.31,,,,259.81,16.00,76.00,0.53,False,False,213.41,30123191.97,0,1576673.08,28546518.89,98.00,-8.72,33000000,,45.75,61.42,33.26,LOW,-6.74
2022-03-07,222.26,224.03,227.98,222.08,222.26,4022700,234.53,202.85,224.55,223.97,,,,259.81,12.00,72.00,0.48,False,False,213.41,29892596.44,0,998797.09,28893799.35,100.00,-9.42,33000000,week +buy 50% ,43.70,57.40,36.91,LOW,-9.33
2022-03-08,223.26,222.26,229.62,222.08,223.26,3725900,234.25,202.84,224.91,223.78,,,,259.81,8.00,68.00,0.47,False,False,213.41,30022596.44,0,998797.09,29023799.35,100.00,-9.02,33000000,,45.16,56.07,41.10,LOW,-9.98
2022-03-09,225.88,227.98,230.28,225.59,225.88,3428500,233.36,203.75,224.35,223.49,,,,259.81,4.00,64.00,0.53,False,False,213.41,30363197.74,0,998797.09,29364400.65,100.00,-7.99,33000000,,48.91,58.07,45.59,LOW,-7.69
2022-03-10,224.17,223.00,224.39,219.09,224.17,3318700,231.72,205.59,223.93,223.01,,,,259.81,0.00,60.00,0.51,True,False,213.41,30140896.83,0,998797.09,29142099.74,100.00,-8.66,33000000,,46.67,62.86,50.28,LOW,-8.09
2022-03-11,222.21,223.90,227.56,221.99,222.21,2616300,231.23,205.80,223.56,222.75,,,,259.81,0.00,56.00,0.42,True,False,213.41,29886098.00,0,998797.09,28887300.91,100.00,-9.44,33000000,,44.17,65.85,54.44,LOW,-9.21
2022-03-14,226.51,223.98,227.71,221.08,226.51,3607700,231.31,205.73,224.41,222.78,,,,259.81,12.00,52.00,0.49,True,False,213.41,30445096.44,0,704334.09,29740762.34,101.00,-7.74,33000000,week +buy 50% ,50.44,71.80,58.24,LOW,-9.84
2022-03-15,231.07,227.80,232.35,227.51,231.07,3413600,232.21,204.69,225.97,223.04,,,,259.81,8.00,48.00,0.64,True,False,213.41,31043826.01,0,704334.09,30339491.92,101.00,-5.93,33000000,,56.08,81.05,62.18,LOW,-7.92
2022-03-16,231.33,233.13,234.43,226.79,231.33,3497400,232.83,203.94,227.06,223.20,,,,259.81,4.00,44.00,0.72,True,False,213.41,31077963.36,0,704334.09,30373629.26,101.00,-5.82,33000000,,56.38,88.97,66.00,LOW,-5.92
2022-03-17,234.38,230.00,234.41,228.32,234.38,3323900,234.26,202.19,229.10,223.57,,,,259.81,0.00,40.00,0.83,True,False,213.41,31478428.75,0,704334.09,30774094.66,101.00,-4.61,33000000,,59.89,94.64,69.81,LOW,-4.80
