Date,rate_BAC,rate_VOO,Sector,rate_COIN,rate_JPM
2022-02-18,-1.64,-6.5,Financial Services,-16.2,-4.27
2022-02-22,-2.47,-7.48,Financial Services,-21.49,-4.43
2022-02-23,-4.1,-9.06,Financial Services,-23.2,-6.37
2022-02-24,-6.56,-7.73,Financial Services,-20.29,-8.89
2022-02-25,-3.6,-5.81,Financial Services,-21.46,-6.81
2022-02-28,-5.31,-6.04,Financial Services,-15.51,-10.57
2022-03-01,-8.69,-7.18,Financial Services,-12.76,-13.45
2022-03-02,-7.28,-5.58,Financial Services,-13.47,-11.76
2022-03-03,-8.65,-6.03,Financial Services,-20.41,-12.35
2022-03-04,-11.8,-6.74,Financial Services,-25.59,-14.68
2022-03-07,-17.15,-9.33,Financial Services,-27.53,-17.79
2022-03-08,-16.62,-9.98,Financial Services,-27.16,-18.35
2022-03-09,-11.47,-7.69,Financial Services,-19.8,-15.19
2022-03-10,-12.25,-8.09,Financial Services,-22.4,-16.16
2022-03-11,-12.96,-9.21,Financial Services,-27.99,-17.98
2022-03-14,-11.13,-9.84,Financial Services,-30.98,-17.2
2022-03-15,-10.5,-7.92,Financial Services,-29.74,-15.76
2022-03-16,-7.73,-5.92,Financial Services,-22.44,-12.08
2022-03-17,-7.24,-4.8,Financial Services,-20.37,-10.99
2022-03-18,-7.52,-3.77,Financial Services,-16.53,-11.02
2022-03-21,-7.65,-3.77,Financial Services,-20.55,-11.3
2022-03-22,-4.78,-2.68,Financial Services,-16.43,-9.44
2022-03-23,-7.11,-3.9,Financial Services,-17.75,-11.22
2022-03-24,-7.15,-2.83,Financial Services,-14.6,-10.65
2022-03-25,-5.74,-2.35,Financial Services,-16.15,-9.88
2022-03-28,-6.13,-1.69,Financial Services,-9.6,-10.53
2022-03-29,-6.36,-0.48,Financial Services,-8.21,-10.34
2022-03-30,-7.31,-1.09,Financial Services,-11.7,-10.74
2022-03-31,-11.13,-2.57,Financial Services,-14.74,-13.4
2022-04-01,-11.47,-2.24,Financial Services,-15.56,-13.62
2022-04-04,-11.61,-1.45,Financial Services,-13.54,-13.26
2022-04-05,-13.08,-2.62,Financial Services,-19.9,-14.86
2022-04-06,-14.01,-3.57,Financial Services,-24.45,-16.01
2022-04-07,-14.67,-3.1,Financial Services,-24.73,-16.26
2022-04-08,-14.08,-3.33,Financial Services,-27.04,-14.77
2022-04-11,-14.25,-4.94,Financial Services,-30.15,-15.07
2022-04-12,-15.15,-5.28,Financial Services,-31.93,-15.99
2022-04-13,-15.89,-4.23,Financial Services,-29.74,-18.67
2022-04-14,-18.57,-5.37,Financial Services,-33.07,-19.41
2022-04-18,-15.83,-5.35,Financial Services,-34.01,-17.94
2022-04-19,-14.28,-3.88,Financial Services,-31.28,-16.25
2022-04-20,-14.09,-3.95,Financial Services,-33.13,-15.96
2022-04-21,-15.7,-5.34,Financial Services,-37.52,-16.6
2022-04-22,-18.61,-7.86,Financial Services,-40.11,-18.98
2022-04-25,-19.19,-7.37,Financial Services,-38.5,-19.01
2022-04-26,-21.0,-9.95,Financial Services,-42.1,-21.39
2022-04-27,-21.43,-9.73,Financial Services,-44.18,-22.4
2022-04-28,-20.22,-7.52,Financial Services,-44.11,-21.19
2022-04-29,-22.66,-10.83,Financial Services,-48.62,-23.71
2022-05-02,-21.05,-9.99,Financial Services,-43.44,-22.36
2022-05-03,-18.93,-9.62,Financial Services,-42.45,-20.74
2022-05-04,-15.74,-6.99,Financial Services,-39.48,-18.19
2022-05-05,-18.05,-10.13,Financial Services,-46.63,-20.18
2022-05-06,-18.25,-10.67,Financial Services,-51.35,-20.31
2022-05-09,-20.56,-13.43,Financial Services,-60.45,-21.48
2022-05-10,-21.88,-13.22,Financial Services,-65.29,-23.36
2022-05-11,-22.29,-14.58,Financial Services,-74.17,-23.84
2022-05-12,-23.37,-14.64,Financial Services,-71.96,-23.9
2022-05-13,-23.15,-12.68,Financial Services,-67.65,-23.24
2022-05-16,-23.93,-12.99,Financial Services,-70.49,-23.76
2022-05-17,-21.37,-11.29,Financial Services,-66.61,-21.26
2022-05-18,-23.78,-14.71,Financial Services,-69.87,-22.59
2022-05-19,-24.71,-15.27,Financial Services,-67.81,-23.73
2022-05-20,-25.99,-15.25,Financial Services,-68.41,-24.35
2022-05-23,-21.63,-13.68,Financial Services,-68.43,-19.71
2022-05-24,-22.11,-14.29,Financial Services,-70.67,-18.59
2022-05-25,-21.69,-13.59,Financial Services,-67.93,-18.03
2022-05-26,-19.89,-11.92,Financial Services,-66.65,-16.62
2022-05-27,-19.12,-9.77,Financial Services,-64.08,-15.45
2022-05-31,-18.73,-10.26,Financial Services,-62.77,-14.84
2022-06-01,-19.33,-10.69,Financial Services,-65.37,-15.87
2022-06-02,-19.27,-9.06,Financial Services,-62.88,-14.55
2022-06-03,-20.38,-10.5,Financial Services,-66.38,-15.72
2022-06-06,-20.47,-10.26,Financial Services,-64.41,-16.0
2022-06-07,-20.03,-9.4,Financial Services,-64.96,-15.78
2022-06-08,-21.04,-10.37,Financial Services,-65.14,-17.11
2022-06-09,-24.06,-12.42,Financial Services,-67.85,-18.84
2022-06-10,-27.0,-14.93,Financial Services,-70.37,-22.54
2022-06-13,-29.52,-18.12,Financial Services,-73.71,-24.83
2022-06-14,-30.75,-18.32,Financial Services,-73.92,-26.07
2022-06-15,-29.45,-17.18,Financial Services,-72.21,-25.2
2022-06-16,-29.89,-19.83,Financial Services,-74.19,-26.48
2022-06-17,-29.74,-19.62,Financial Services,-74.1,-26.73
2022-06-21,-27.7,-17.71,Financial Services,-70.98,-24.93
2022-06-22,-28.25,-17.88,Financial Services,-73.76,-25.35
2022-06-23,-29.39,-17.04,Financial Services,-70.29,-26.16
2022-06-24,-28.88,-14.53,Financial Services,-68.38,-23.98
2022-06-27,-28.79,-14.84,Financial Services,-71.74,-24.58
2022-06-28,-28.99,-16.63,Financial Services,-74.12,-24.94
2022-06-29,-29.87,-16.92,Financial Services,-74.84,-25.27
2022-06-30,-31.47,-17.56,Financial Services,-76.2,-27.0
2022-07-01,-29.7,-16.28,Financial Services,-73.16,-25.37
2022-07-05,-30.39,-16.14,Financial Services,-70.07,-26.27
2022-07-06,-30.95,-15.85,Financial Services,-71.95,-26.73
2022-07-07,-29.02,-14.65,Financial Services,-68.94,-24.9
2022-07-08,-29.17,-14.7,Financial Services,-67.44,-25.14
2022-07-11,-29.9,-15.64,Financial Services,-70.84,-26.11
2022-07-12,-30.12,-16.4,Financial Services,-70.65,-26.04
2022-07-13,-31.28,-16.77,Financial Services,-71.26,-26.73
2022-07-14,-32.85,-16.99,Financial Services,-71.09,-29.27
2022-07-15,-28.15,-15.46,Financial Services,-70.89,-26.05
2022-07-18,-28.13,-16.14,Financial Services,-68.28,-26.81
2022-07-19,-25.7,-13.93,Financial Services,-64.46,-25.01
2022-07-20,-25.68,-13.4,Financial Services,-59.42,-25.02
2022-07-21,-25.03,-12.55,Financial Services,-60.11,-24.51
2022-07-22,-25.52,-13.32,Financial Services,-61.8,-24.88
2022-07-25,-24.86,-13.24,Financial Services,-63.8,-24.58
2022-07-26,-26.37,-14.25,Financial Services,-71.35,-25.75
2022-07-27,-25.17,-12.07,Financial Services,-68.2,-24.57
2022-07-28,-25.77,-10.99,Financial Services,-66.37,-24.85
2022-07-29,-24.68,-9.72,Financial Services,-65.99,-24.49
2022-08-01,-24.24,-9.72,Financial Services,-64.39,-24.57
2022-08-02,-25.36,-10.15,Financial Services,-62.52,-25.44
2022-08-03,-24.36,-9.12,Financial Services,-56.9,-24.86
2022-08-04,-24.76,-9.18,Financial Services,-53.55,-25.47
2022-08-05,-23.83,-9.31,Financial Services,-51.83,-23.82
2022-08-08,-24.61,-9.37,Financial Services,-49.77,-24.5
2022-08-09,-23.95,-9.62,Financial Services,-53.47,-24.04
2022-08-10,-22.18,-8.33,Financial Services,-51.16,-22.69
2022-08-11,-20.88,-8.33,Financial Services,-54.78,-21.9
2022-08-12,-20.28,-7.26,Financial Services,-52.46,-21.01
2022-08-15,-20.36,-6.98,Financial Services,-51.93,-20.86
2022-08-16,-19.78,-6.87,Financial Services,-52.49,-20.36
2022-08-17,-20.12,-7.3,Financial Services,-54.22,-20.81
2022-08-18,-20.32,-7.11,Financial Services,-54.91,-21.22
2022-08-19,-21.5,-7.96,Financial Services,-58.2,-22.52
2022-08-22,-22.63,-9.24,Financial Services,-59.11,-23.37
2022-08-23,-23.09,-9.38,Financial Services,-59.21,-23.87
2022-08-24,-22.92,-9.2,Financial Services,-59.1,-23.75
2022-08-25,-22.0,-8.33,Financial Services,-59.14,-22.55
2022-08-26,-23.65,-10.4,Financial Services,-60.87,-24.24
2022-08-29,-23.84,-10.79,Financial Services,-61.02,-24.36
2022-08-30,-23.56,-11.42,Financial Services,-60.75,-24.35
2022-08-31,-24.28,-11.87,Financial Services,-60.84,-24.65
2022-09-01,-23.86,-11.4,Financial Services,-59.76,-23.69
2022-09-02,-23.91,-11.98,Financial Services,-59.86,-24.03
2022-09-06,-24.45,-12.17,Financial Services,-60.79,-24.02
2022-09-07,-23.5,-10.9,Financial Services,-58.06,-22.84
2022-09-08,-21.27,-10.38,Financial Services,-55.38,-21.2
2022-09-09,-20.67,-9.13,Financial Services,-51.06,-20.86
2022-09-12,-19.98,-8.23,Financial Services,-50.13,-20.0
2022-09-13,-22.73,-12.01,Financial Services,-54.35,-22.65
2022-09-14,-23.01,-11.7,Financial Services,-52.35,-22.82
2022-09-15,-21.63,-12.63,Financial Services,-53.2,-21.72
2022-09-16,-22.47,-13.28,Financial Services,-55.07,-22.22
2022-09-19,-21.24,-12.65,Financial Services,-57.43,-21.53
2022-09-20,-22.39,-13.61,Financial Services,-58.6,-23.04
2022-09-21,-24.65,-15.08,Financial Services,-58.78,-25.19
2022-09-22,-26.09,-15.78,Financial Services,-61.56,-26.02
2022-09-23,-27.8,-17.14,Financial Services,-62.19,-27.36
2022-09-26,-29.35,-17.92,Financial Services,-61.95,-28.87
2022-09-27,-30.38,-18.14,Financial Services,-61.49,-29.49
2022-09-28,-29.26,-16.92,Financial Services,-58.94,-28.09
2022-09-29,-30.18,-18.62,Financial Services,-62.16,-29.29
2022-09-30,-31.21,-19.84,Financial Services,-60.63,-30.37
2022-10-03,-28.48,-17.32,Financial Services,-58.26,-27.55
2022-10-04,-25.59,-14.89,Financial Services,-53.08,-24.25
2022-10-05,-26.62,-15.03,Financial Services,-54.01,-25.81
2022-10-06,-27.65,-15.9,Financial Services,-53.44,-27.28
2022-10-07,-29.25,-18.18,Financial Services,-57.63,-28.7
2022-10-10,-29.45,-18.77,Financial Services,-57.6,-29.35
2022-10-11,-31.47,-19.3,Financial Services,-55.67,-31.35
2022-10-12,-31.27,-19.54,Financial Services,-55.8,-30.26
2022-10-13,-27.11,-17.48,Financial Services,-56.23,-26.45
2022-10-14,-27.09,-19.3,Financial Services,-59.74,-25.24
2022-10-17,-22.73,-17.29,Financial Services,-56.28,-22.15
2022-10-18,-19.85,-16.34,Financial Services,-58.13,-20.17
2022-10-19,-22.04,-16.91,Financial Services,-60.01,-21.72
2022-10-20,-22.54,-17.57,Financial Services,-59.76,-21.97
2022-10-21,-19.69,-15.63,Financial Services,-58.02,-17.91
2022-10-24,-19.42,-14.63,Financial Services,-58.01,-17.81
2022-10-25,-18.68,-13.27,Financial Services,-52.59,-17.6
2022-10-26,-17.97,-13.9,Financial Services,-53.37,-16.66
2022-10-27,-17.58,-14.35,Financial Services,-54.21,-16.34
2022-10-28,-16.87,-12.4,Financial Services,-54.46,-15.35
2022-10-31,-17.19,-12.98,Financial Services,-58.1,-15.49
2022-11-01,-16.42,-13.0,Financial Services,-58.5,-13.64
2022-11-02,-16.66,-15.11,Financial Services,-60.08,-14.4
2022-11-03,-17.11,-15.97,Financial Services,-63.1,-14.25
2022-11-04,-15.1,-14.8,Financial Services,-61.24,-11.99
2022-11-07,-14.6,-14.03,Financial Services,-62.38,-11.55
2022-11-08,-14.41,-13.57,Financial Services,-66.28,-11.5
2022-11-09,-15.55,-15.28,Financial Services,-69.37,-12.46
2022-11-10,-12.44,-10.81,Financial Services,-66.23,-9.46
2022-11-11,-11.9,-9.98,Financial Services,-62.07,-9.34
2022-11-14,-13.15,-10.68,Financial Services,-64.76,-10.12
2022-11-15,-13.28,-9.96,Financial Services,-63.27,-10.63
2022-11-16,-14.0,-10.63,Financial Services,-67.61,-10.54
2022-11-17,-14.4,-10.88,Financial Services,-67.64,-10.84
2022-11-18,-14.36,-10.49,Financial Services,-69.93,-10.16
2022-11-21,-14.1,-10.8,Financial Services,-72.54,-10.57
2022-11-22,-13.76,-9.64,Financial Services,-71.13,-9.54
2022-11-23,-13.54,-9.09,Financial Services,-69.7,-8.79
2022-11-25,-13.37,-9.1,Financial Services,-70.54,-8.66
2022-11-28,-14.95,-10.5,Financial Services,-71.7,-9.9
2022-11-29,-14.66,-10.66,Financial Services,-71.31,-8.59
2022-11-30,-12.88,-7.97,Financial Services,-69.58,-7.63
2022-12-01,-15.23,-7.76,Financial Services,-68.22,-8.57
2022-12-02,-16.19,-7.89,Financial Services,-66.68,-9.19
2022-12-05,-19.49,-9.46,Financial Services,-67.75,-11.39
2022-12-06,-22.7,-10.72,Financial Services,-70.16,-11.25
2022-12-07,-23.27,-10.89,Financial Services,-70.93,-11.31
2022-12-08,-23.93,-10.21,Financial Services,-69.89,-10.44
2022-12-09,-24.06,-10.84,Financial Services,-71.62,-10.89
2022-12-12,-23.3,-9.61,Financial Services,-70.03,-9.61
2022-12-13,-23.25,-8.96,Financial Services,-72.71,-9.7
2022-12-14,-24.31,-9.5,Financial Services,-71.69,-10.13
2022-12-15,-25.47,-11.68,Financial Services,-73.2,-12.27
2022-12-16,-25.63,-12.71,Financial Services,-74.15,-12.79
2022-12-19,-24.81,-13.44,Financial Services,-75.13,-12.3
2022-12-20,-24.51,-13.72,Financial Services,-75.27,-11.88
2022-12-21,-23.39,-12.46,Financial Services,-75.14,-10.91
2022-12-22,-24.05,-13.66,Financial Services,-75.53,-11.9
2022-12-23,-23.87,-13.19,Financial Services,-74.91,-11.49
2022-12-27,-23.73,-13.52,Financial Services,-76.88,-11.19
2022-12-28,-23.18,-14.56,Financial Services,-76.96,-10.71
2022-12-29,-22.33,-13.08,Financial Services,-75.4,-10.21
2022-12-30,-22.37,-13.31,Financial Services,-74.98,-9.63
2023-01-03,-20.97,-13.32,Financial Services,-74.45,-8.75
2023-01-04,-19.52,-12.72,Financial Services,-71.5,-7.92
2023-01-05,-19.69,-13.65,Financial Services,-74.57,-8.61
2023-01-06,-18.89,-11.74,Financial Services,-74.77,-6.88
2023-01-09,-20.11,-11.8,Financial Services,-71.01,-7.26
2023-01-10,-19.57,-11.18,Financial Services,-67.27,-6.43
2023-01-11,-18.96,-10.08,Financial Services,-66.84,-5.74
2023-01-12,-18.75,-9.75,Financial Services,-64.01,-5.84
2023-01-13,-16.96,-9.41,Financial Services,-62.17,-3.47
2023-01-17,-18.63,-9.54,Financial Services,-59.04,-4.96
2023-01-18,-20.51,-10.98,Financial Services,-62.0,-7.8
2023-01-19,-21.66,-11.6,Financial Services,-62.6,-9.02
2023-01-20,-20.2,-10.01,Financial Services,-58.27,-8.8
2023-01-23,-19.1,-8.94,Financial Services,-57.66,-7.33
2023-01-24,-18.51,-9.04,Financial Services,-59.47,-6.53
2023-01-25,-17.81,-9.01,Financial Services,-60.08,-6.08
2023-01-26,-16.7,-8.06,Financial Services,-59.88,-5.51
2023-01-27,-16.44,-7.8,Financial Services,-53.58,-5.28
2023-01-30,-16.8,-8.93,Financial Services,-57.51,-6.08
2023-01-31,-16.37,-7.66,Financial Services,-55.76,-5.52
2023-02-01,-14.99,-6.52,Financial Services,-49.17,-5.64
2023-02-02,-14.51,-5.25,Financial Services,-37.55,-6.06
2023-02-03,-13.82,-6.21,Financial Services,-42.59,-4.65
2023-02-06,-13.96,-6.73,Financial Services,-42.62,-4.11
2023-02-07,-13.02,-5.74,Financial Services,-44.64,-2.96
2023-02-08,-13.65,-6.59,Financial Services,-45.91,-3.63
2023-02-09,-15.47,-7.25,Financial Services,-52.19,-5.11
2023-02-10,-15.8,-7.06,Financial Services,-53.82,-4.7
2023-02-13,-15.63,-6.18,Financial Services,-54.26,-3.68
2023-02-14,-15.7,-6.21,Financial Services,-52.36,-3.26
2023-02-15,-15.84,-5.96,Financial Services,-44.91,-2.86
2023-02-16,-16.5,-6.98,Financial Services,-47.62,-4.18
2023-02-17,-16.34,-7.17,Financial Services,-47.9,-3.9
2023-02-21,-18.29,-8.6,Financial Services,-50.16,-5.64
2023-02-22,-18.83,-8.69,Financial Services,-50.81,-6.36
2023-02-23,-18.9,-8.34,Financial Services,-49.95,-5.61
2023-02-24,-19.02,-9.1,Financial Services,-52.79,-4.77
2023-02-27,-19.02,-8.85,Financial Services,-52.41,-3.95
2023-02-28,-18.8,-9.16,Financial Services,-47.92,-3.15
2023-03-01,-18.75,-9.24,Financial Services,-46.98,-3.61
2023-03-02,-20.25,-8.66,Financial Services,-47.7,-4.58
2023-03-03,-18.71,-7.41,Financial Services,-47.1,-2.88
2023-03-06,-18.87,-7.32,Financial Services,-48.4,-3.43
2023-03-07,-21.42,-8.65,Financial Services,-49.09,-6.22
2023-03-08,-22.45,-8.52,Financial Services,-48.21,-6.77
2023-03-09,-27.18,-10.08,Financial Services,-52.06,-11.72
2023-03-10,-27.81,-11.27,Financial Services,-55.69,-9.52
2023-03-13,-31.93,-11.41,Financial Services,-51.21,-11.12
2023-03-14,-31.33,-10.0,Financial Services,-48.42,-8.86
2023-03-15,-31.97,-10.53,Financial Services,-46.96,-13.12
2023-03-16,-30.84,-9.06,Financial Services,-44.31,-11.45
2023-03-17,-33.56,-10.02,Financial Services,-38.53,-14.76
2023-03-20,-33.72,-9.23,Financial Services,-38.4,-13.87
2023-03-21,-31.73,-8.08,Financial Services,-31.23,-11.58
2023-03-22,-33.98,-9.56,Financial Services,-36.78,-13.84
2023-03-23,-35.57,-9.35,Financial Services,-45.57,-14.07
2023-03-24,-35.17,-9.13,Financial Services,-44.33,-15.37
2023-03-27,-31.96,-8.98,Financial Services,-48.62,-12.96
2023-03-28,-32.84,-9.14,Financial Services,-48.21,-12.7
2023-03-29,-31.54,-7.87,Financial Services,-46.37,-12.53
2023-03-30,-32.42,-7.33,Financial Services,-47.3,-12.79
2023-03-31,-31.7,-6.05,Financial Services,-44.53,-11.74
2023-04-03,-31.04,-5.56,Financial Services,-46.71,-11.58
2023-04-04,-32.48,-6.08,Financial Services,-47.58,-12.74
2023-04-05,-33.29,-6.3,Financial Services,-49.02,-13.28
2023-04-06,-32.81,-5.95,Financial Services,-48.48,-13.38
2023-04-10,-32.58,-5.85,Financial Services,-44.65,-13.1
2023-04-11,-30.74,-5.84,Financial Services,-41.31,-12.67
2023-04-12,-31.29,-6.21,Financial Services,-43.24,-12.69
2023-04-13,-31.1,-5.01,Financial Services,-42.33,-12.36
2023-04-14,-28.8,-5.2,Financial Services,-41.54,-5.81
2023-04-17,-26.77,-4.88,Financial Services,-43.34,-5.07
2023-04-18,-26.32,-4.82,Financial Services,-43.73,-4.01
2023-04-19,-27.52,-4.83,Financial Services,-46.07,-4.13
2023-04-20,-27.9,-5.36,Financial Services,-49.34,-4.4
2023-04-21,-27.97,-5.3,Financial Services,-50.55,-4.59
2023-04-24,-28.24,-5.18,Financial Services,-54.11,-4.46
2023-04-25,-30.45,-6.43,Financial Services,-53.44,-6.52
2023-04-26,-31.41,-6.78,Financial Services,-54.83,-8.17
2023-04-27,-30.33,-5.24,Financial Services,-54.59,-6.94
2023-04-28,-29.39,-4.56,Financial Services,-54.91,-6.14
2023-05-01,-29.33,-4.51,Financial Services,-56.72,-4.05
2023-05-02,-31.44,-5.49,Financial Services,-55.73,-5.35
2023-05-03,-32.15,-6.08,Financial Services,-58.1,-7.03
2023-05-04,-34.23,-6.71,Financial Services,-57.49,-8.09
2023-05-05,-32.51,-5.15,Financial Services,-49.93,-6.6
2023-05-08,-32.56,-5.11,Financial Services,-50.05,-6.41
2023-05-09,-32.63,-5.5,Financial Services,-48.26,-6.82
2023-05-10,-33.45,-5.1,Financial Services,-46.2,-6.78
2023-05-11,-33.28,-5.23,Financial Services,-48.14,-7.05
2023-05-12,-34.01,-5.35,Financial Services,-50.7,-8.27
2023-05-15,-32.66,-5.04,Financial Services,-47.79,-7.56
2023-05-16,-33.36,-5.65,Financial Services,-50.25,-8.16
2023-05-17,-30.43,-4.56,Financial Services,-47.56,-5.46
2023-05-18,-30.67,-3.65,Financial Services,-48.22,-4.77
2023-05-19,-31.54,-3.8,Financial Services,-51.18,-4.98
2023-05-22,-30.99,-3.74,Financial Services,-47.53,-5.73
2023-05-23,-30.4,-4.8,Financial Services,-49.21,-6.69
2023-05-24,-31.57,-5.51,Financial Services,-49.84,-7.53
2023-05-25,-31.4,-4.7,Financial Services,-51.12,-7.31
2023-05-26,-31.06,-3.48,Financial Services,-51.07,-6.46
2023-05-30,-31.18,-3.45,Financial Services,-47.45,-6.11
2023-05-31,-32.32,-3.96,Financial Services,-46.57,-7.28
2023-06-01,-31.67,-2.99,Financial Services,-44.45,-5.91
2023-06-02,-29.42,-1.6,Financial Services,-43.62,-3.98
2023-06-05,-29.84,-1.79,Financial Services,-48.64,-4.91
2023-06-06,-28.15,-1.59,Financial Services,-54.79,-4.74
2023-06-07,-27.54,-1.91,Financial Services,-53.36,-3.83
2023-06-08,-28.15,-1.33,Financial Services,-51.94,-3.8
2023-06-09,-28.05,-1.17,Financial Services,-53.34,-3.61
2023-06-12,-28.39,-0.27,Financial Services,-55.7,-3.62
2023-06-13,-27.73,0.38,Financial Services,-54.1,-2.92
2023-06-14,-28.42,0.45,Financial Services,-52.8,-3.28
2023-06-15,-27.81,1.72,Financial Services,-52.49,-2.19
2023-06-16,-28.25,1.35,Financial Services,-51.33,-2.08
2023-06-20,-29.03,0.89,Financial Services,-50.02,-2.57
2023-06-21,-29.77,0.35,Financial Services,-49.15,-2.72
2023-06-22,-31.26,0.71,Financial Services,-49.68,-4.58
2023-06-23,-31.78,-0.04,Financial Services,-46.22,-5.08
2023-06-26,-30.94,-0.45,Financial Services,-45.81,-4.85
2023-06-27,-30.57,0.64,Financial Services,-38.89,-4.84
2023-06-28,-30.99,0.69,Financial Services,-38.14,-5.26
2023-06-29,-29.54,0.68,Financial Services,-36.67,-1.96
2023-06-30,-29.47,1.85,Financial Services,-37.44,-0.59
2023-07-03,-27.64,2.0,Financial Services,-29.52,0.2
2023-07-05,-27.94,1.78,Financial Services,-30.89,-1.13
2023-07-06,-29.89,0.97,Financial Services,-31.11,-2.1
2023-07-07,-29.28,0.74,Financial Services,-30.57,-1.33
2023-07-10,-28.96,1.01,Financial Services,-28.41,-0.79
2023-07-11,-28.08,1.65,Financial Services,-21.49,0.75
2023-07-12,-27.24,2.44,Financial Services,-24.28,1.25
2023-07-13,-26.48,3.26,Financial Services,-5.92,1.73
2023-07-14,-27.85,3.18,Financial Services,-7.4,2.34
2023-07-17,-27.14,3.53,Financial Services,-7.19,4.79
2023-07-18,-23.93,4.31,Financial Services,-7.9,4.98
2023-07-19,-21.89,4.53,Financial Services,-3.77,5.38
2023-07-20,-21.49,3.86,Financial Services,-10.38,6.67
2023-07-21,-20.78,3.87,Financial Services,-10.7,5.85
2023-07-24,-19.12,4.3,Financial Services,-12.17,7.93
2023-07-25,-20.36,4.56,Financial Services,-12.99,7.13
2023-07-26,-19.72,4.58,Financial Services,-11.53,7.77
2023-07-27,-20.85,3.99,Financial Services,-16.5,6.58
2023-07-28,-20.98,4.84,Financial Services,-15.04,7.19
2023-07-31,-20.73,5.01,Financial Services,-12.34,7.9
2023-08-01,-21.1,4.66,Financial Services,-15.1,7.3
2023-08-02,-21.98,3.53,Financial Services,-17.61,6.29
2023-08-03,-21.53,3.31,Financial Services,-17.39,6.83
2023-08-04,-21.76,2.92,Financial Services,-19.71,6.64
2023-08-07,-20.56,3.63,Financial Services,-20.63,7.06
2023-08-08,-21.64,3.32,Financial Services,-19.32,6.64
2023-08-09,-22.36,2.85,Financial Services,-21.64,5.63
2023-08-10,-22.22,2.89,Financial Services,-22.24,5.52
2023-08-11,-21.6,2.83,Financial Services,-23.74,5.95
2023-08-14,-22.23,3.23,Financial Services,-23.86,6.1
2023-08-15,-23.91,2.44,Financial Services,-24.88,4.28
2023-08-16,-25.02,1.94,Financial Services,-25.0,3.99
2023-08-17,-25.03,1.39,Financial Services,-27.15,3.27
2023-08-18,-25.32,1.45,Financial Services,-28.64,3.43
2023-08-21,-25.25,1.9,Financial Services,-27.33,3.66
2023-08-22,-26.46,1.71,Financial Services,-27.57,2.24
2023-08-23,-26.45,2.43,Financial Services,-25.73,2.69
2023-08-24,-26.16,1.53,Financial Services,-28.36,2.63
2023-08-25,-26.36,1.97,Financial Services,-27.98,2.54
2023-08-28,-25.92,2.41,Financial Services,-28.33,2.78
2023-08-29,-25.22,3.38,Financial Services,-21.25,3.33
2023-08-30,-25.44,3.66,Financial Services,-21.81,3.06
2023-08-31,-26.07,3.58,Financial Services,-24.53,2.21
2023-09-01,-25.04,3.65,Financial Services,-25.07,2.39
2023-09-05,-25.6,3.35,Financial Services,-25.38,1.66
2023-09-06,-26.15,2.76,Financial Services,-24.95,1.52
2023-09-07,-26.77,2.49,Financial Services,-21.65,0.73
2023-09-08,-26.2,2.62,Financial Services,-21.38,0.8
2023-09-11,-25.9,3.26,Financial Services,-22.73,1.22
2023-09-12,-24.65,2.72,Financial Services,-22.07,2.51
2023-09-13,-24.88,2.84,Financial Services,-23.44,2.55
