Date,rate_BAC,rate_VOO,Sector,rate_COIN,rate_JPM
2022-01-03,0.0,0.0,Financial Services,0.0,0.0
2022-01-04,1.96,-0.02,Financial Services,-0.18,1.88
2022-01-05,1.08,-0.97,Financial Services,-3.32,0.64
2022-01-06,2.11,-1.04,Financial Services,-3.36,1.17
2022-01-07,3.25,-1.21,Financial Services,-3.69,1.67
2022-01-10,2.98,-1.27,Financial Services,-5.13,1.72
2022-01-11,3.42,-0.63,Financial Services,-1.39,1.8
2022-01-12,2.86,-0.4,Financial Services,-2.17,2.23
2022-01-13,2.71,-1.43,Financial Services,-4.15,2.13
2022-01-14,1.35,-1.41,Financial Services,-3.6,-2.55
2022-01-18,-1.27,-2.7,Financial Services,-6.05,-5.55
2022-01-19,-0.98,-3.45,Financial Services,-6.82,-6.61
2022-01-20,-2.08,-4.24,Financial Services,-6.17,-7.18
2022-01-21,-3.4,-5.63,Financial Services,-15.25,-8.35
2022-01-24,-3.99,-5.34,Financial Services,-15.4,-8.41
2022-01-25,-2.34,-6.33,Financial Services,-17.58,-7.56
2022-01-26,-1.46,-6.51,Financial Services,-20.19,-6.8
2022-01-27,-2.27,-6.91,Financial Services,-23.34,-8.22
2022-01-28,-1.52,-4.96,Financial Services,-20.58,-7.51
2022-01-31,-1.01,-3.46,Financial Services,-15.89,-6.44
2022-02-01,0.57,-2.79,Financial Services,-12.41,-4.8
2022-02-02,0.48,-1.97,Financial Services,-16.49,-5.48
2022-02-03,-0.42,-4.0,Financial Services,-18.88,-6.18
2022-02-04,3.18,-3.6,Financial Services,-13.71,-4.0
2022-02-07,3.62,-3.88,Financial Services,-9.25,-3.71
2022-02-08,5.39,-3.15,Financial Services,-8.01,-2.0
2022-02-09,5.19,-1.81,Financial Services,-5.62,-1.62
2022-02-10,4.72,-3.44,Financial Services,-9.66,-2.0
2022-02-11,2.42,-5.24,Financial Services,-13.9,-3.21
2022-02-14,1.4,-5.53,Financial Services,-13.6,-4.06
2022-02-15,2.17,-4.08,Financial Services,-7.76,-2.7
2022-02-16,1.95,-3.98,Financial Services,-8.18,-2.53
2022-02-17,-1.41,-5.93,Financial Services,-15.02,-4.7
