Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2022-01-03,370.29,368.49,374.20,366.91,370.29,1026700,,,,,,,,370.29,,,0.00,False,False,370.29,31000000.00,0,15595935.63,15404064.37,32.00,0.00,31000000,week +buy 50% Monthly invest,,,,EL,0.00
2022-01-04,371.86,372.11,373.98,368.14,371.86,1012700,,,,,,,,371.86,,,0.03,False,False,370.29,31065311.00,0,15595935.63,15469375.38,32.00,0.21,31000000,,,,,EL,-0.02
2022-01-05,356.11,367.00,368.66,356.10,356.11,2075000,,,,,,,,371.86,,,-0.23,False,False,356.11,30410111.00,0,15595935.63,14814175.38,32.00,-1.90,31000000,,,,,EL,-0.97
2022-01-06,355.39,357.00,357.57,353.00,355.39,1096200,,,,,,,,371.86,,,-0.39,False,False,355.39,30380160.25,0,15595935.63,14784224.62,32.00,-2.00,31000000,,,,,EL,-1.04
2022-01-07,354.93,355.00,357.46,350.07,354.93,936500,,,361.72,,,,,371.86,,,-0.48,False,False,354.93,30361023.33,0,15595935.63,14765087.71,32.00,-2.06,31000000,,,,,EL,-1.21
2022-01-10,335.89,349.50,349.60,333.36,335.89,1863400,,,354.84,,,,,371.86,,,-0.84,False,False,335.89,29568960.25,0,8172766.29,21396193.96,49.00,-4.62,31000000,week +buy 50% ,,,,EL,-1.27
2022-01-11,340.57,336.00,340.95,331.57,340.57,1029700,,,348.58,,,,,371.86,,,-0.95,False,False,335.89,29867075.74,0,8172766.29,21694309.45,49.00,-3.65,31000000,,,,,EL,-0.63
2022-01-12,345.55,343.97,349.45,342.35,345.55,1589800,,,346.47,,,,,371.86,,,-0.87,False,False,335.89,30184300.53,0,8172766.29,22011534.24,49.00,-2.63,31000000,,,,,EL,-0.40
2022-01-13,334.38,345.55,346.79,331.99,334.38,1255800,,,342.26,,,,,371.86,,,-0.97,False,False,334.38,29472772.61,0,8172766.29,21300006.32,49.00,-4.93,31000000,,,,,EL,-1.43
2022-01-14,322.05,330.39,331.16,318.64,322.05,2548000,,,335.69,,,,,371.86,,,-1.20,False,False,322.05,28687350.53,0,8172766.29,20514584.24,49.00,-7.46,31000000,,,,,EL,-1.41
2022-01-18,310.95,314.70,317.15,309.42,310.95,2446100,,,330.70,,,,,371.86,,,-1.48,False,False,310.95,27980282.06,0,8172766.29,19807515.76,49.00,-9.74,31000000,,,,,EL,-2.70
2022-01-19,309.52,314.89,319.07,309.01,309.52,2036700,,,324.49,,,,,371.86,,,-1.60,False,False,309.52,27889189.59,0,8172766.29,19716423.30,49.00,-10.03,31000000,,,,,EL,-3.45
2022-01-20,301.06,311.37,315.77,300.06,301.06,2036300,,,315.59,,,,,371.86,,,-1.74,False,False,301.06,27350288.17,0,8172766.29,19177521.87,49.00,-11.77,31000000,,,,,EL,-4.24
2022-01-21,297.02,300.00,302.57,296.76,297.02,2239800,,,308.12,,,,,371.86,,,-1.81,False,False,297.02,27092939.59,0,8172766.29,18920173.30,49.00,-12.60,31000000,,,,,EL,-5.63
2022-01-24,301.79,294.00,303.73,283.54,301.79,2642500,,,304.07,,,,,371.86,,,-1.64,False,False,297.02,27396789.87,0,4249496.18,23147293.69,59.00,-11.62,31000000,week +buy 50% ,17.11,,,EL,-5.34
2022-01-25,294.21,297.85,300.30,292.94,294.21,1816500,,,300.72,,,,,371.86,,,-1.58,False,False,294.21,26815402.49,0,4249496.18,22565906.31,59.00,-13.50,31000000,,15.17,,,EL,-6.33
2022-01-26,292.57,298.43,304.44,289.14,292.57,1834700,,,297.33,,,,,371.86,,,-1.46,False,False,292.57,26689615.71,0,4249496.18,22440119.54,59.00,-13.90,31000000,,14.78,,,EL,-6.51
2022-01-27,298.19,298.14,304.89,294.24,298.19,2220900,,,296.76,,,,,371.86,,,-1.17,False,False,292.57,27120669.33,0,4249496.18,22871173.15,59.00,-12.51,31000000,,22.17,,,EL,-6.91
2022-01-28,303.79,294.90,304.15,292.01,303.79,1938300,,,298.11,,,,,371.86,,,-0.77,False,False,292.57,27550189.87,0,4249496.18,23300693.69,59.00,-11.13,31000000,,28.80,,,EL,-4.96
2022-01-31,311.79,302.58,311.82,302.58,311.79,1514700,377.52,221.14,300.11,325.40,,,,371.86,,,-0.28,False,False,292.57,28163789.87,0,2222861.12,25940928.75,64.00,-9.15,31000000,week +buy 50% ,37.05,,,EL,-3.46
2022-02-01,315.02,312.04,316.24,308.79,315.02,1726800,370.64,226.61,304.27,322.63,,,,371.86,,,0.16,False,False,292.57,29432524.20,0,3222861.12,26209663.08,64.00,-8.02,32000000,Monthly invest,40.07,,,EL,-2.79
2022-02-02,319.17,317.27,319.53,312.20,319.17,2246700,362.36,235.26,309.59,320.00,,,,371.86,,,0.55,False,False,292.57,29777806.20,0,3222861.12,26554945.08,64.00,-6.94,32000000,,43.80,35.94,,EL,-1.97
2022-02-03,303.12,304.82,317.97,299.95,303.12,2395200,356.88,238.28,310.58,317.35,,,,371.86,,,0.48,False,False,292.57,28442444.70,0,3222861.12,25219583.58,64.00,-11.12,32000000,,34.78,34.37,,EL,-4.00
2022-02-04,313.35,309.88,316.96,305.02,313.35,2579300,350.73,244.28,312.49,315.25,,,,371.86,,,0.66,False,False,292.57,29293581.62,0,3222861.12,26070720.50,64.00,-8.46,32000000,,42.86,36.21,,EL,-3.60
2022-02-07,314.43,315.53,318.52,311.42,314.43,1341300,343.68,252.30,313.02,313.22,,,,371.86,,,0.81,False,False,292.57,29383436.54,0,1996584.15,27386852.39,67.00,-8.18,32000000,week +buy 50% ,43.65,37.85,,EL,-3.88
2022-02-08,315.08,311.14,315.50,310.11,315.08,1247400,340.84,254.86,313.03,312.18,,,,371.86,0.00,56.00,0.90,False,False,292.57,29440051.01,0,1996584.15,27443466.87,67.00,-8.00,32000000,,44.15,44.98,,EL,-3.15
2022-02-09,320.04,319.68,324.70,317.04,320.04,1321000,337.01,259.45,313.20,311.15,,,,371.86,0.00,52.00,1.06,True,False,292.57,29872068.93,0,1996584.15,27875484.78,67.00,-6.65,32000000,,47.97,50.00,,EL,-1.81
2022-02-10,315.61,313.57,319.32,310.82,315.61,1418200,330.32,268.34,315.70,309.66,,,,371.86,0.00,48.00,1.04,True,False,292.57,29486213.84,0,1996584.15,27489629.69,67.00,-7.86,32000000,,45.01,51.31,,EL,-3.44
2022-02-11,300.77,313.31,315.50,300.10,300.77,1982000,325.56,272.82,313.19,307.98,,,,371.86,0.00,44.00,0.70,True,False,292.57,28193650.19,0,1996584.15,26197066.04,67.00,-11.89,32000000,,36.82,47.42,,EL,-5.24
2022-02-14,303.85,300.77,305.14,299.65,303.85,1352400,323.48,274.23,311.07,307.07,,,,371.86,0.00,40.00,0.55,True,False,292.57,28461919.67,0,1206574.13,27255345.54,69.00,-11.06,32000000,week +buy 50% ,39.29,45.41,,EL,-5.53
2022-02-15,307.53,309.73,311.59,306.12,307.53,1327900,323.22,274.25,309.56,306.90,,,,371.86,0.00,36.00,0.52,True,False,292.57,28792015.04,0,1206574.13,27585440.91,69.00,-10.02,32000000,,42.20,47.94,43.14,EL,-4.08
2022-02-16,308.65,306.00,310.12,302.93,308.65,983900,323.15,274.25,307.28,306.85,,,,371.86,4.00,32.00,0.53,True,False,292.57,28892478.59,0,1206574.13,27685904.46,69.00,-9.71,32000000,,43.09,56.21,45.17,EL,-3.98
