Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker
2022-01-03,166.03,166.38,168.23,165.00,166.03,1184400,,,,,,,,166.03,,,0.00,False,False,166.03,31000000.00,0,15675431.09,15324568.91,71.00,0.00,31000000,week +buy 50% Monthly invest,,,,APTV
2022-01-04,172.21,167.65,174.38,167.29,172.21,1713900,,,,,,,,172.21,,,0.24,False,False,166.03,31570414.74,0,15675431.09,15894983.65,71.00,1.84,31000000,,,,,APTV
2022-01-05,168.28,172.50,173.94,168.26,168.28,1205500,,,,,,,,172.21,,,0.22,False,False,166.03,31207675.00,0,15675431.09,15532243.91,71.00,0.67,31000000,,,,,APTV
2022-01-06,174.12,168.88,174.26,165.50,174.12,2041000,,,,,,,,174.12,,,0.42,False,False,166.03,31746706.63,0,15675431.09,16071275.54,71.00,2.41,31000000,,,,,APTV
2022-01-07,169.47,173.77,175.91,169.36,169.47,1502400,,,170.02,,,,,174.12,,,0.35,False,False,166.03,31317512.18,0,15675431.09,15642081.09,71.00,1.02,31000000,,,,,APTV
2022-01-10,165.07,167.76,169.55,160.83,165.07,1021600,,,169.83,,,,,174.12,,,0.11,False,False,165.07,30911392.74,0,7950154.76,22961237.97,107.00,-0.29,31000000,week +buy 50% ,,,,APTV
2022-01-11,159.70,158.40,162.29,157.71,159.70,2827800,,,167.33,,,,,174.12,,,-0.25,False,False,159.70,30164424.35,0,7950154.76,22214269.58,107.00,-2.70,31000000,,,,,APTV
2022-01-12,159.79,161.78,163.81,157.32,159.79,1532200,,,165.63,,,,,174.12,,,-0.47,False,False,159.70,30176942.79,0,7950154.76,22226788.03,107.00,-2.66,31000000,,,,,APTV
2022-01-13,158.57,160.53,163.52,158.50,158.57,1984500,,,162.52,,,,,174.12,,,-0.63,False,False,158.57,30007242.74,0,7950154.76,22057087.97,107.00,-3.20,31000000,,,,,APTV
2022-01-14,152.60,156.00,156.37,148.78,152.60,2237400,,,159.15,,,,,174.12,,,-0.93,False,False,152.60,29176815.60,0,7950154.76,21226660.83,107.00,-5.88,31000000,,,,,APTV
2022-01-18,149.56,151.62,151.67,147.73,149.56,1865600,,,156.04,,,,,174.12,,,-1.19,False,False,149.56,28753950.49,0,7950154.76,20803795.72,107.00,-7.25,31000000,,,,,APTV
2022-01-19,145.88,151.30,151.36,145.74,145.88,1468500,,,153.28,,,,,174.12,,,-1.44,False,False,145.88,28242063.46,0,7950154.76,20291908.70,107.00,-8.90,31000000,,,,,APTV
2022-01-20,142.00,146.65,148.92,141.73,142.00,1519800,,,149.72,,,,,174.12,,,-1.68,False,False,142.00,27702354.76,0,7950154.76,19752200.00,107.00,-10.64,31000000,,,,,APTV
2022-01-21,140.19,140.82,144.50,139.65,140.19,2900300,,,146.05,,,,,174.12,,,-1.82,False,False,140.19,27450584.04,0,7950154.76,19500429.28,107.00,-11.45,31000000,,,,,APTV
2022-01-24,139.89,134.67,140.22,127.86,139.89,2837300,,,143.50,,,,,174.12,,,-1.82,False,False,139.89,27408853.63,0,4131157.79,23277695.83,128.00,-11.58,31000000,week +buy 50% ,16.94,,,APTV
2022-01-25,135.93,136.03,138.26,132.89,135.93,2162900,,,140.78,,,,,174.12,,,-1.88,False,False,135.93,26749908.63,0,4131157.79,22618750.84,128.00,-13.71,31000000,,14.80,,,APTV
2022-01-26,135.21,138.90,141.57,132.89,135.21,1569000,,,138.64,,,,,174.12,,,-1.83,False,False,135.21,26630102.96,0,4131157.79,22498945.16,128.00,-14.10,31000000,,14.44,,,APTV
2022-01-27,132.01,137.43,139.39,130.05,132.01,2125400,,,136.65,,,,,174.12,,,-1.83,False,False,132.01,26097620.96,0,4131157.79,21966463.17,128.00,-15.81,31000000,,12.95,,,APTV
2022-01-28,130.98,131.77,132.04,127.63,130.98,3273600,,,134.80,,,,,174.12,,,-1.76,False,False,130.98,25926229.13,0,4131157.79,21795071.33,128.00,-16.37,31000000,,12.50,,,APTV
2022-01-31,136.58,130.89,136.93,130.42,136.58,3579400,180.15,94.81,134.14,151.70,,,,174.12,,,-1.35,False,False,130.98,26858070.12,0,2178063.76,24680006.36,139.00,-13.36,31000000,week +buy 50% ,27.26,,,APTV
2022-02-01,139.99,138.31,141.26,135.44,139.99,3510000,178.49,94.23,134.95,150.40,,,,174.12,,,-0.83,False,False,130.98,28474257.67,0,3178063.76,25296193.90,139.00,-11.02,32000000,Monthly invest,34.51,,,APTV
2022-02-02,139.79,140.43,141.81,138.04,139.79,1944400,175.35,95.65,135.87,148.78,,,,174.12,,,-0.43,False,False,130.98,28438115.50,0,3178063.76,25260051.74,139.00,-11.13,32000000,,34.29,23.11,,APTV
2022-02-03,131.86,134.51,139.39,131.69,131.86,2601100,172.92,95.05,135.84,146.96,,,,174.12,,,-0.47,False,False,130.98,27005165.94,0,3178063.76,23827102.18,139.00,-15.61,32000000,,27.06,19.85,,APTV
2022-02-04,132.20,129.28,134.10,128.84,132.20,2620000,168.36,97.87,136.08,144.86,,,,174.12,,,-0.42,False,False,130.98,27066603.22,0,3178063.76,23888539.46,139.00,-15.42,32000000,,27.77,14.47,,APTV
2022-02-07,130.84,132.24,134.19,130.63,130.84,1614000,164.27,100.25,134.94,142.93,,,,174.12,,,-0.39,False,False,130.84,26820851.04,0,1647235.81,25173615.23,148.00,-16.18,32000000,week +buy 50% ,26.66,8.63,,APTV
2022-02-08,134.24,131.30,134.77,129.89,134.24,2025900,160.44,103.28,133.79,141.39,,,,174.12,16.00,72.00,-0.15,False,False,130.84,27475012.77,0,1647235.81,25827776.96,148.00,-14.14,32000000,,33.77,11.80,,APTV
2022-02-09,139.28,136.01,139.59,135.92,139.28,1686100,157.48,106.15,133.68,140.37,,,,174.12,12.00,68.00,0.29,False,False,130.84,28444707.62,0,1647235.81,26797471.81,148.00,-11.11,32000000,,42.64,19.38,,APTV
2022-02-10,135.92,136.90,141.14,134.90,135.92,1977300,153.86,109.81,134.50,139.18,,,,174.12,8.00,64.00,0.43,False,False,130.84,27798243.43,0,1647235.81,26151007.62,148.00,-13.13,32000000,,38.90,24.52,,APTV
2022-02-11,134.00,135.92,137.39,132.45,134.00,1961000,149.77,114.31,134.86,137.95,,,,174.12,4.00,60.00,0.46,False,False,130.84,27428835.81,0,1647235.81,25781600.00,148.00,-14.28,32000000,,36.91,25.82,,APTV
2022-02-14,136.60,134.26,137.98,134.26,136.60,2442800,146.87,117.70,136.01,137.15,,,,174.12,0.00,56.00,0.61,False,False,130.84,27929076.96,0,936915.78,26992161.19,152.00,-12.72,32000000,week +buy 50% ,41.29,27.53,,APTV
2022-02-15,143.61,139.45,143.99,139.23,143.61,2572900,145.32,119.91,137.88,136.85,,,,174.12,0.00,52.00,1.04,False,False,130.84,29314251.98,0,936915.78,28377336.20,152.00,-8.39,32000000,,51.15,42.27,21.74,APTV
2022-02-16,146.26,140.42,147.05,140.42,146.26,1861600,145.42,119.77,139.28,136.87,,,,174.12,4.00,48.00,1.42,False,False,130.84,29837890.79,0,936915.78,28900975.01,152.00,-6.76,32000000,,54.28,64.05,25.83,APTV
2022-02-17,143.13,143.68,145.83,142.12,143.13,1554000,145.62,119.53,140.72,136.93,,,,174.12,0.00,44.00,1.48,True,False,130.84,29219404.77,0,936915.78,28282488.99,152.00,-8.69,32000000,,50.19,78.22,31.67,APTV
2022-02-18,141.15,143.70,144.72,140.31,141.15,1227500,145.75,119.41,142.15,136.97,,,,174.12,0.00,40.00,1.37,True,False,130.84,28828154.59,0,936915.78,27891238.81,152.00,-9.91,32000000,,47.74,78.98,38.12,APTV
2022-02-22,137.52,140.45,142.04,135.72,137.52,1302500,145.54,119.49,142.33,136.85,,,,174.12,0.00,36.00,1.10,True,False,130.84,28110868.57,0,936915.78,27173952.79,152.00,-12.15,32000000,,43.55,66.79,43.94,APTV
2022-02-23,133.25,139.29,139.29,132.57,133.25,1396900,145.54,119.08,140.26,136.72,,,,174.12,0.00,32.00,0.71,True,False,130.84,27267115.78,0,936915.78,26330200.00,152.00,-14.79,32000000,,39.19,49.83,47.74,APTV
2022-02-24,134.22,127.34,134.33,125.56,134.22,2223400,145.53,118.95,137.85,136.67,,,,174.12,0.00,100.00,0.49,True,False,130.84,27458787.98,0,936915.78,26521872.20,152.00,-14.19,32000000,,40.64,40.05,49.81,APTV
2022-02-25,136.00,135.14,136.83,132.94,136.00,1448200,145.48,119.65,136.43,136.87,,,,174.12,0.00,96.00,0.43,True,False,130.84,27810515.78,0,936915.78,26873600.00,152.00,-13.09,32000000,,43.32,39.27,51.28,APTV
2022-02-28,129.44,132.79,133.98,127.69,129.44,2816000,145.64,119.11,134.09,136.79,,,,174.12,72.00,92.00,0.09,True,False,129.44,26514260.17,0,600371.77,25913888.40,154.00,-17.14,32000000,week +buy 50% ,36.74,35.64,52.26,APTV
2022-03-01,118.05,128.70,129.20,117.00,118.05,4974300,147.91,111.78,130.19,135.87,,,,174.12,68.00,100.00,-0.64,True,False,118.05,25233982.37,0,1600371.77,23633610.60,154.00,-23.53,33000000,Monthly invest,28.61,23.38,51.85,APTV
2022-03-02,121.71,119.52,122.87,118.13,121.71,3267200,148.31,108.24,127.88,134.95,,,,174.12,64.00,96.00,-0.89,False,False,118.05,25966713.57,0,1600371.77,24366341.80,154.00,-21.31,33000000,,33.69,12.41,48.86,APTV
2022-03-03,116.87,121.83,122.53,116.13,116.87,2093800,149.10,103.22,124.41,133.81,,,,174.12,60.00,100.00,-1.21,False,False,116.87,24997746.37,0,1600371.77,23397374.60,154.00,-24.25,33000000,,30.59,7.19,43.18,APTV
