Date,rate_086520,rate_VOO,Sector
2022-01-03,0.0,0.0,
2022-01-04,-1.93,-0.02,
2022-01-05,-3.14,-0.97,
2022-01-06,-4.97,-1.04,
2022-01-07,-3.9,-1.21,
2022-01-10,-5.91,-1.27,
2022-01-11,-7.6,-0.63,
2022-01-12,-2.68,-0.4,
2022-01-13,-2.61,-1.43,
2022-01-14,-3.74,-1.41,
2022-01-17,-3.6,-2.7,
2022-01-18,-4.34,-3.45,
2022-01-19,-5.16,-4.24,
2022-01-20,-2.85,-5.63,
2022-01-21,-7.39,-5.34,
2022-01-24,-15.98,-6.33,
2022-01-25,-16.42,-6.51,
2022-01-26,-37.78,-6.91,
2022-01-27,-33.92,-4.96,
2022-01-28,-35.18,-3.46,
2022-02-03,-29.3,-2.79,
2022-02-04,-28.08,-1.97,
2022-02-07,-31.76,-4.0,
2022-02-08,-32.05,-3.6,
2022-02-09,-27.14,-3.88,
2022-02-10,-29.5,-3.15,
2022-02-11,-26.84,-1.81,
2022-02-14,-28.81,-3.44,
2022-02-15,-27.32,-5.24,
2022-02-16,-24.64,-5.53,
2022-02-17,-24.54,-4.08,
2022-02-18,-23.95,-3.98,
2022-02-21,-25.34,-5.93,
2022-02-22,-25.93,-6.5,
2022-02-23,-25.34,-7.48,
2022-02-24,-28.42,-9.06,
2022-02-25,-18.77,-7.73,
2022-02-28,-13.6,-5.81,
2022-03-02,-6.51,-6.04,
2022-03-03,-4.97,-7.18,
2022-03-04,-4.97,-5.58,
2022-03-07,-8.06,-6.03,
2022-03-08,-12.09,-6.74,
2022-03-10,-7.67,-9.33,
2022-03-11,-10.22,-9.98,
2022-03-14,-14.16,-7.69,
2022-03-15,-14.76,-8.09,
2022-03-16,-11.28,-9.21,
2022-03-17,-8.5,-9.84,
2022-03-18,-8.5,-7.92,
2022-03-21,-7.6,-5.92,
2022-03-22,-7.8,-4.8,
2022-03-23,-6.21,-3.77,
2022-03-24,-7.8,-3.77,
2022-03-25,-8.3,-2.68,
2022-03-28,-10.1,-3.9,
2022-03-29,-8.6,-2.83,
2022-03-30,-9.0,-2.35,
2022-03-31,-7.7,-1.69,
