Date,rate_086520,rate_VOO,Sector
2022-04-01,-10.29,-0.48,
2022-04-04,-9.51,-1.09,
2022-04-05,1.94,-2.57,
2022-04-06,1.84,-2.24,
2022-04-07,-1.61,-1.45,
2022-04-08,-0.03,-2.62,
2022-04-11,-5.95,-3.57,
2022-04-12,-7.65,-3.1,
2022-04-13,-5.56,-3.33,
2022-04-14,-7.95,-4.94,
2022-04-15,-9.64,-5.28,
2022-04-18,-10.24,-4.23,
2022-04-19,-9.84,-5.37,
2022-04-20,-10.44,-5.35,
2022-04-21,-11.54,-3.88,
2022-04-22,-13.34,-3.95,
2022-04-25,-15.94,-5.34,
2022-04-26,-16.44,-7.86,
2022-04-27,-18.55,-7.37,
2022-04-28,-18.95,-9.95,
2022-04-29,-13.54,-9.73,
2022-05-02,-12.37,-7.52,
2022-05-03,-12.17,-10.83,
2022-05-04,-8.7,-9.99,
2022-05-06,-11.08,-9.62,
2022-05-09,-13.86,-6.99,
2022-05-10,-14.66,-10.13,
2022-05-11,-13.66,-10.67,
2022-05-12,-18.95,-13.43,
2022-05-13,-17.86,-13.22,
2022-05-16,-16.96,-14.58,
2022-05-17,-15.85,-14.64,
2022-05-18,-15.85,-12.68,
2022-05-19,-15.75,-12.99,
2022-05-20,-11.63,-11.29,
2022-05-23,-14.24,-14.71,
2022-05-24,-17.56,-15.27,
2022-05-25,-18.27,-15.25,
2022-05-26,-18.58,-13.68,
2022-05-27,-18.47,-14.29,
2022-05-30,-17.06,-13.59,
2022-05-31,-16.66,-11.92,
2022-06-02,-16.98,-9.77,
2022-06-03,-17.67,-10.26,
2022-06-07,-20.61,-10.69,
2022-06-08,-21.01,-9.06,
2022-06-09,-20.31,-10.5,
2022-06-10,-21.91,-10.26,
2022-06-13,-25.1,-9.4,
2022-06-14,-24.3,-10.37,
2022-06-15,-26.92,-12.42,
2022-06-16,-23.59,-14.93,
2022-06-17,-22.28,-18.12,
2022-06-20,-23.08,-18.32,
2022-06-21,-24.1,-17.18,
2022-06-22,-27.04,-19.83,
2022-06-23,-32.51,-19.62,
2022-06-24,-26.03,-17.71,
2022-06-27,-23.39,-17.88,
2022-06-28,-19.13,-17.04,
2022-06-29,-21.77,-14.53,
2022-06-30,-27.05,-14.84,
2022-07-01,-30.17,-16.63,
2022-07-04,-30.47,-16.92,
2022-07-05,-25.42,-17.56,
2022-07-06,-27.54,-16.28,
2022-07-07,-27.44,-16.14,
2022-07-08,-26.43,-15.85,
2022-07-11,-28.14,-14.65,
2022-07-12,-30.39,-14.7,
2022-07-13,-28.96,-15.64,
2022-07-14,-22.02,-16.4,
2022-07-15,-17.63,-16.77,
2022-07-18,-18.65,-16.99,
2022-07-19,-8.92,-15.46,
2022-07-20,-6.87,-16.14,
2022-07-21,-8.61,-13.93,
2022-07-22,-5.03,-13.4,
2022-07-25,-4.72,-12.55,
2022-07-26,-7.8,-13.32,
2022-07-27,-5.95,-13.24,
2022-07-28,-6.77,-14.25,
2022-07-29,-8.11,-12.07,
2022-08-01,-5.39,-10.99,
2022-08-02,-4.55,-9.72,
2022-08-03,0.04,-9.72,
2022-08-04,2.72,-10.15,
2022-08-05,12.28,-9.12,
2022-08-08,12.43,-9.18,
2022-08-09,14.31,-9.31,
2022-08-10,13.96,-9.37,
2022-08-11,13.93,-9.62,
2022-08-12,11.86,-8.33,
2022-08-16,13.62,-8.33,
2022-08-17,13.47,-7.26,
2022-08-18,14.73,-6.98,
2022-08-19,12.66,-6.87,
2022-08-22,11.71,-7.3,
2022-08-23,10.0,-7.11,
2022-08-24,10.94,-7.96,
2022-08-25,11.82,-9.24,
2022-08-26,9.17,-9.38,
2022-08-29,7.7,-9.2,
2022-08-30,9.07,-8.33,
2022-08-31,13.26,-10.4,
2022-09-01,11.2,-10.79,
2022-09-02,10.56,-11.42,
2022-09-05,9.35,-11.87,
2022-09-06,9.92,-11.4,
2022-09-07,18.43,-11.98,
2022-09-08,21.95,-12.17,
2022-09-13,22.61,-10.9,
2022-09-14,29.89,-10.38,
2022-09-15,38.98,-9.13,
2022-09-16,35.3,-8.23,
2022-09-19,27.36,-12.01,
2022-09-20,26.19,-11.7,
2022-09-21,29.01,-12.63,
2022-09-22,35.5,-13.28,
2022-09-23,29.78,-12.65,
2022-09-26,22.22,-13.61,
2022-09-27,24.84,-15.08,
2022-09-28,16.01,-15.78,
2022-09-29,11.35,-17.14,
2022-09-30,12.23,-17.92,
2022-10-04,13.43,-18.14,
2022-10-05,9.89,-16.92,
2022-10-06,17.88,-18.62,
2022-10-07,16.24,-19.84,
2022-10-11,13.83,-17.32,
2022-10-12,18.26,-14.89,
2022-10-13,19.42,-15.03,
2022-10-14,27.53,-15.9,
2022-10-17,39.7,-18.18,
2022-10-18,40.47,-18.77,
2022-10-19,44.15,-19.3,
2022-10-20,41.63,-19.54,
2022-10-21,42.12,-17.48,
2022-10-24,43.37,-19.3,
2022-10-25,38.25,-17.29,
2022-10-26,36.9,-16.34,
2022-10-27,38.25,-16.91,
2022-10-28,35.93,-17.57,
2022-10-31,37.28,-15.63,
2022-11-01,35.52,-14.63,
2022-11-02,29.4,-13.27,
2022-11-03,33.64,-13.9,
2022-11-04,31.47,-14.35,
2022-11-07,32.51,-12.4,
2022-11-08,29.18,-12.98,
2022-11-09,28.8,-13.0,
2022-11-10,24.8,-15.11,
2022-11-11,28.13,-15.97,
2022-11-14,29.84,-14.8,
2022-11-15,27.74,-14.03,
2022-11-16,24.87,-13.57,
2022-11-17,21.9,-15.28,
2022-11-18,20.28,-10.81,
2022-11-21,18.85,-9.98,
2022-11-22,15.21,-10.68,
2022-11-23,22.97,-9.96,
2022-11-24,26.04,-10.63,
2022-11-25,25.17,-10.88,
2022-11-28,25.17,-10.49,
2022-11-29,30.07,-10.8,
2022-11-30,34.58,-9.64,
2022-12-01,35.16,-9.09,
2022-12-02,28.13,-9.1,
2022-12-05,22.7,-10.5,
2022-12-06,18.91,-10.66,
2022-12-07,17.96,-7.97,
2022-12-08,15.98,-7.76,
2022-12-09,9.35,-7.89,
2022-12-12,8.49,-9.46,
2022-12-13,8.21,-10.72,
2022-12-14,14.4,-10.89,
2022-12-15,14.02,-10.21,
2022-12-16,10.4,-10.84,
2022-12-19,9.74,-9.61,
2022-12-20,10.5,-8.96,
2022-12-21,12.22,-9.5,
2022-12-22,12.6,-11.68,
2022-12-23,7.15,-12.71,
2022-12-26,9.45,-13.44,
2022-12-27,10.31,-13.72,
2022-12-28,4.21,-12.46,
2022-12-29,1.65,-13.66,
2023-01-02,8.34,-13.19,
2023-01-03,12.23,-13.52,
2023-01-04,12.23,-14.56,
2023-01-05,8.63,-13.08,
2023-01-06,7.95,-13.31,
2023-01-09,8.92,-13.32,
2023-01-10,7.46,-12.72,
2023-01-11,14.7,-13.65,
2023-01-12,14.21,-11.74,
2023-01-13,13.23,-11.8,
2023-01-16,14.7,-11.18,
2023-01-17,13.03,-10.08,
2023-01-18,13.03,-9.75,
2023-01-19,9.5,-9.41,
2023-01-20,11.17,-9.54,
2023-01-25,15.58,-10.98,
2023-01-26,22.65,-11.6,
2023-01-27,22.65,-10.01,
2023-01-30,24.61,-8.94,
2023-01-31,20.88,-9.04,
2023-02-01,25.78,-9.01,
2023-02-02,28.28,-8.06,
2023-02-03,34.62,-7.8,
2023-02-06,42.88,-8.93,
2023-02-07,61.8,-7.66,
2023-02-08,68.43,-6.52,
2023-02-09,86.0,-5.25,
2023-02-10,83.02,-6.21,
2023-02-13,91.48,-6.73,
2023-02-14,91.86,-5.74,
2023-02-15,107.52,-6.59,
2023-02-16,132.01,-7.25,
2023-02-17,114.24,-7.06,
2023-02-20,129.13,-6.18,
2023-02-21,141.26,-6.21,
2023-02-22,130.58,-5.96,
2023-02-23,135.44,-6.98,
2023-02-24,134.95,-7.17,
2023-02-27,171.83,-8.6,
2023-02-28,177.17,-8.69,
2023-03-02,163.27,-8.34,
2023-03-03,186.51,-9.1,
2023-03-06,196.0,-8.85,
2023-03-07,184.38,-9.16,
2023-03-08,212.28,-9.24,
2023-03-09,207.63,-8.66,
2023-03-10,195.34,-7.41,
2023-03-13,230.54,-7.32,
2023-03-14,234.96,-8.65,
2023-03-15,270.76,-8.52,
2023-03-16,266.11,-10.08,
2023-03-17,248.21,-11.27,
2023-03-20,249.03,-11.41,
2023-03-21,256.79,-10.0,
2023-03-22,271.85,-10.53,
2023-03-23,272.77,-9.06,
2023-03-24,272.99,-10.02,
2023-03-27,269.11,-9.23,
2023-03-28,266.98,-8.08,
2023-03-29,292.21,-9.56,
2023-03-30,292.21,-9.35,
2023-03-31,292.21,-9.13,
2023-04-03,286.24,-8.98,
2023-04-04,276.94,-9.14,
2023-04-05,292.13,-7.87,
2023-04-06,294.79,-7.33,
2023-04-07,316.43,-6.05,
2023-04-10,370.74,-5.56,
2023-04-11,388.65,-6.08,
2023-04-12,339.49,-6.3,
2023-04-13,326.92,-5.95,
2023-04-14,328.44,-5.85,
2023-04-17,330.73,-5.84,
2023-04-18,346.49,-6.21,
2023-04-19,330.32,-5.01,
2023-04-20,327.5,-5.2,
2023-04-21,313.35,-4.88,
2023-04-24,323.05,-4.82,
2023-04-25,322.57,-4.83,
2023-04-26,323.52,-5.36,
2023-04-27,375.78,-5.3,
2023-04-28,385.75,-5.18,
2023-05-02,378.94,-6.43,
2023-05-03,347.28,-6.78,
2023-05-04,354.43,-5.24,
2023-05-08,331.08,-4.56,
2023-05-09,323.23,-4.51,
2023-05-10,305.96,-5.49,
2023-05-11,285.03,-6.08,
2023-05-12,281.9,-6.71,
2023-05-15,269.86,-5.15,
2023-05-16,285.63,-5.11,
2023-05-17,294.57,-5.5,
2023-05-18,293.0,-5.1,
2023-05-19,275.65,-5.23,
2023-05-22,294.05,-5.35,
2023-05-23,295.63,-5.04,
2023-05-24,294.05,-5.65,
2023-05-25,283.51,-4.56,
2023-05-26,280.87,-3.65,
2023-05-30,282.98,-3.8,
2023-05-31,291.94,-3.74,
2023-06-01,285.34,-4.8,
2023-06-02,287.93,-5.51,
2023-06-05,287.41,-4.7,
2023-06-07,337.4,-3.48,
2023-06-08,335.31,-3.45,
2023-06-09,341.56,-3.96,
2023-06-12,353.02,-2.99,
2023-06-13,382.72,-1.6,
2023-06-14,339.99,-1.79,
2023-06-15,362.39,-1.59,
2023-06-16,378.03,-1.91,
2023-06-19,394.7,-1.33,
2023-06-20,391.05,-1.17,
2023-06-21,389.49,-0.27,
2023-06-22,389.49,0.38,
2023-06-23,387.41,0.45,
2023-06-26,388.97,1.72,
2023-06-27,376.98,1.35,
2023-06-28,357.18,0.89,
2023-06-29,364.48,0.35,
2023-06-30,385.32,0.71,
2023-07-03,456.06,-0.04,
2023-07-04,448.2,-0.45,
2023-07-05,468.57,0.64,
2023-07-06,467.85,0.69,
2023-07-07,481.79,0.68,
2023-07-10,476.43,1.85,
2023-07-11,481.97,2.0,
2023-07-12,453.78,1.78,
2023-07-13,471.9,0.97,
2023-07-14,488.01,0.74,
2023-07-17,493.55,1.01,
2023-07-18,553.45,1.65,
2023-07-19,552.95,2.44,
2023-07-20,535.83,3.26,
2023-07-21,566.04,3.18,
2023-07-24,575.1,3.53,
2023-07-25,641.55,4.31,
2023-07-26,608.83,4.53,
2023-07-27,486.5,3.86,
2023-07-28,546.41,3.87,
2023-07-31,598.26,4.3,
2023-08-01,586.71,4.56,
2023-08-02,548.97,4.58,
2023-08-03,586.29,3.99,
2023-08-04,572.46,4.84,
2023-08-07,527.17,5.01,
2023-08-08,531.1,4.66,
2023-08-09,540.03,3.53,
2023-08-10,546.99,3.31,
2023-08-11,544.4,2.92,
2023-08-14,540.47,3.63,
2023-08-16,526.01,3.32,
2023-08-17,535.41,2.85,
2023-08-18,531.48,2.89,
2023-08-21,541.71,2.83,
2023-08-22,556.79,3.23,
2023-08-23,553.28,2.44,
2023-08-24,556.61,1.94,
2023-08-25,556.44,1.39,
2023-08-28,556.26,1.45,
2023-08-29,551.3,1.9,
2023-08-30,555.24,1.71,
2023-08-31,556.55,2.43,
2023-09-01,534.49,1.53,
2023-09-04,524.77,1.97,
2023-09-05,518.16,2.41,
2023-09-06,512.55,3.38,
2023-09-07,503.75,3.66,
2023-09-08,506.75,3.58,
2023-09-11,498.54,3.65,
2023-09-12,486.9,3.35,
2023-09-13,479.69,2.76,
2023-09-14,480.85,2.49,
2023-09-15,477.59,2.62,
2023-09-18,479.69,3.26,
2023-09-19,477.43,2.72,
2023-09-20,493.21,2.84,
2023-09-21,497.72,3.7,
2023-09-22,494.21,2.45,
2023-09-25,474.93,2.56,
2023-09-26,477.0,2.36,
2023-09-27,480.38,1.42,
2023-10-04,451.55,-0.2,
2023-10-05,451.81,-0.44,
2023-10-06,455.5,-0.03,
2023-10-10,441.44,-1.48,
2023-10-11,456.56,-1.46,
2023-10-12,464.52,-1.26,
2023-10-13,453.91,-1.49,
2023-10-16,454.44,-1.47,
2023-10-17,453.11,-2.77,
2023-10-18,450.98,-2.07,
2023-10-19,444.6,-2.15,
2023-10-20,432.1,-1.01,
2023-10-23,426.51,-0.36,
2023-10-24,432.37,0.14,
2023-10-25,415.86,0.56,
2023-10-26,397.48,-0.03,
2023-10-27,401.21,-0.55,
2023-10-30,408.4,0.47,
2023-10-31,397.21,0.48,
2023-11-01,383.71,-0.85,
2023-11-02,397.29,-1.68,
2023-11-03,394.16,-2.89,
2023-11-06,444.07,-3.06,
2023-11-07,452.21,-2.34,
2023-11-08,420.19,-3.7,
2023-11-09,418.09,-4.87,
2023-11-10,406.54,-5.28,
2023-11-13,407.33,-4.16,
2023-11-14,418.12,-3.59,
2023-11-15,421.02,-2.49,
2023-11-16,413.38,-0.7,
2023-11-17,404.96,0.19,
2023-11-20,417.86,0.38,
2023-11-21,417.07,0.65,
2023-11-22,410.48,0.73,
2023-11-23,411.27,-0.01,
2023-11-24,409.16,1.52,
2023-11-27,408.37,1.42,
2023-11-28,413.38,3.34,
2023-11-29,421.04,3.57,
2023-11-30,423.15,3.71,
2023-12-01,409.1,3.86,
2023-12-04,394.33,4.63,
2023-12-05,391.98,4.36,
2023-12-06,387.55,4.81,
2023-12-07,385.21,4.87,
2023-12-08,394.33,4.69,
2023-12-11,393.81,4.79,
2023-12-12,392.5,4.72,
2023-12-13,384.4,5.12,
2023-12-14,379.43,5.62,
2023-12-15,388.32,5.11,
2023-12-18,402.17,5.08,
2023-12-19,411.59,4.72,
2023-12-20,410.02,5.4,
2023-12-21,400.86,5.77,
2023-12-22,394.58,6.12,
2023-12-26,387.78,6.6,
2023-12-27,388.04,7.92,
2023-12-28,389.08,8.21,
2024-01-02,379.7,8.06,
2024-01-03,375.05,8.62,
2024-01-04,378.68,9.16,
2024-01-05,384.38,7.51,
2024-01-08,379.97,8.36,
2024-01-09,378.67,8.57,
2024-01-10,375.03,8.94,
2024-01-11,382.56,9.1,
2024-01-12,378.15,9.11,
2024-01-15,375.81,8.87,
2024-01-16,373.99,8.16,
2024-01-17,368.53,7.53,
2024-01-18,365.94,7.23,
2024-01-19,358.4,7.36,
2024-01-22,347.75,8.85,
2024-01-23,345.93,8.62,
2024-01-24,345.41,9.22,
2024-01-25,341.37,9.19,
2024-01-26,353.21,9.23,
2024-01-29,349.31,8.92,
2024-01-30,346.97,8.42,
2024-01-31,344.36,9.22,
2024-02-01,346.39,10.34,
2024-02-02,350.23,10.55,
2024-02-05,347.93,10.83,
2024-02-06,339.95,10.91,
2024-02-07,357.96,11.43,
2024-02-08,375.72,11.37,
2024-02-13,372.37,12.06,
2024-02-14,369.03,11.99,
2024-02-15,372.37,10.45,
2024-02-16,373.66,11.46,
2024-02-19,364.65,12.41,
2024-02-20,363.36,12.07,
2024-02-21,363.36,12.35,
2024-02-22,362.33,13.07,
2024-02-23,361.56,13.13,
2024-02-26,360.78,13.64,
2024-02-27,357.94,13.6,
2024-02-28,360.27,12.17,
2024-02-29,368.02,13.12,
2024-03-04,365.37,13.8,
2024-03-05,358.22,13.28,
2024-03-06,356.43,12.73,
2024-03-07,356.94,12.83,
2024-03-08,354.65,14.94,
2024-03-11,353.12,14.99,
2024-03-12,360.8,14.61,
2024-03-13,360.03,14.81,
2024-03-14,359.26,14.65,
2024-03-15,357.21,15.05,
2024-03-18,360.8,15.81,
2024-03-19,359.77,15.68,
2024-03-20,358.74,14.57,
2024-03-21,361.31,15.15,
2024-03-22,364.13,16.24,
2024-03-25,367.72,15.57,
2024-03-26,368.49,15.48,
2024-03-27,375.93,16.5,
2024-03-28,371.82,16.35,
2024-03-29,365.41,16.14,
2024-04-01,359.36,15.48,
2024-04-02,353.27,16.07,
2024-04-03,342.11,16.58,
2024-04-04,341.6,17.38,
2024-04-05,338.05,17.69,
2024-04-08,329.68,17.27,
2024-04-09,329.68,17.03,
2024-04-11,329.68,16.78,
2024-04-12,329.68,17.57,
2024-04-15,329.68,17.56,
2024-04-16,329.68,17.14,
2024-04-17,329.68,16.47,
2024-04-18,329.68,16.56,
2024-04-19,329.68,15.31,
2024-04-22,329.68,16.37,
2024-04-23,329.68,16.41,
2024-04-24,329.68,16.55,
2024-04-25,335.68,15.5,
2024-04-26,333.0,16.27,
2024-04-29,333.0,14.8,
2024-04-30,333.26,13.46,
2024-05-02,324.97,13.26,
2024-05-03,321.46,12.6,
2024-05-07,320.46,12.36,
2024-05-08,321.21,11.45,
2024-05-09,318.56,12.38,
2024-05-10,317.55,13.77,
2024-05-13,313.51,13.69,
2024-05-14,317.18,13.23,
2024-05-16,320.86,14.34,
2024-05-17,319.47,14.73,
2024-05-20,319.47,12.94,
2024-05-21,315.14,12.36,
2024-05-22,316.29,13.38,
2024-05-23,315.78,14.75,
2024-05-24,312.22,15.88,
2024-05-27,316.41,16.04,
2024-05-28,313.1,16.05,
2024-05-29,307.5,16.7,
2024-05-30,307.24,16.85,
2024-05-31,312.72,16.85,
2024-06-03,306.13,17.4,
2024-06-04,310.04,18.81,
2024-06-05,315.34,18.58,
2024-06-07,324.04,18.76,
2024-06-10,319.24,18.87,
2024-06-11,318.48,19.19,
2024-06-12,316.21,18.84,
2024-06-13,315.83,17.97,
2024-06-14,313.8,18.76,
2024-06-17,310.89,18.86,
2024-06-18,307.09,18.03,
2024-06-19,309.62,17.25,
2024-06-20,307.09,18.26,
2024-06-21,305.44,18.08,
