Date,rate_086520,rate_VOO,Sector
2022-01-03,0.0,0.0,기타 금융업
2022-01-04,-1.93,-0.02,기타 금융업
2022-01-05,-3.14,-0.97,기타 금융업
2022-01-06,-4.97,-1.04,기타 금융업
2022-01-07,-3.9,-1.21,기타 금융업
2022-01-10,-5.91,-1.27,기타 금융업
2022-01-11,-7.6,-0.63,기타 금융업
2022-01-12,-2.69,-0.4,기타 금융업
2022-01-13,-2.62,-1.43,기타 금융업
2022-01-14,-3.74,-1.41,기타 금융업
2022-01-17,-3.6,-2.7,기타 금융업
2022-01-18,-4.34,-3.45,기타 금융업
2022-01-19,-5.16,-4.24,기타 금융업
2022-01-20,-2.86,-5.63,기타 금융업
2022-01-21,-7.39,-5.34,기타 금융업
2022-01-24,-15.96,-6.33,기타 금융업
2022-01-25,-16.41,-6.51,기타 금융업
2022-01-26,-37.74,-6.91,기타 금융업
2022-01-27,-33.88,-4.96,기타 금융업
2022-01-28,-35.14,-3.46,기타 금융업
2022-02-03,-29.26,-2.79,기타 금융업
2022-02-04,-28.05,-1.97,기타 금융업
2022-02-07,-31.72,-4.0,기타 금융업
2022-02-08,-32.01,-3.6,기타 금융업
2022-02-09,-27.11,-3.88,기타 금융업
2022-02-10,-29.46,-3.15,기타 금융업
2022-02-11,-26.82,-1.81,기타 금융업
2022-02-14,-28.78,-3.44,기타 금융업
2022-02-15,-27.29,-5.24,기타 금융업
2022-02-16,-24.62,-5.53,기타 금융업
2022-02-17,-24.52,-4.08,기타 금융업
2022-02-18,-23.93,-3.98,기타 금융업
2022-02-21,-25.32,-5.93,기타 금융업
2022-02-22,-25.91,-6.5,기타 금융업
2022-02-23,-25.32,-7.48,기타 금융업
2022-02-24,-28.39,-9.06,기타 금융업
2022-02-25,-18.76,-7.73,기타 금융업
2022-02-28,-13.6,-5.81,기타 금융업
2022-03-02,-6.53,-6.04,기타 금융업
2022-03-03,-4.98,-7.18,기타 금융업
2022-03-04,-4.98,-5.58,기타 금융업
2022-03-07,-8.07,-6.03,기타 금융업
2022-03-08,-12.1,-6.74,기타 금융업
2022-03-10,-7.68,-9.33,기타 금융업
2022-03-11,-10.24,-9.98,기타 금융업
2022-03-14,-14.17,-7.69,기타 금융업
2022-03-15,-14.76,-8.09,기타 금융업
2022-03-16,-11.29,-9.21,기타 금융업
2022-03-17,-8.52,-9.84,기타 금융업
2022-03-18,-8.52,-7.92,기타 금융업
2022-03-21,-7.62,-5.92,기타 금융업
2022-03-22,-7.82,-4.8,기타 금융업
2022-03-23,-6.23,-3.77,기타 금융업
2022-03-24,-7.82,-3.77,기타 금융업
2022-03-25,-8.32,-2.68,기타 금융업
2022-03-28,-10.11,-3.9,기타 금융업
2022-03-29,-8.61,-2.83,기타 금융업
2022-03-30,-9.01,-2.35,기타 금융업
2022-03-31,-7.72,-1.69,기타 금융업
2022-04-01,-10.3,-0.48,기타 금융업
2022-04-04,-9.52,-1.09,기타 금융업
2022-04-05,1.91,-2.57,기타 금융업
2022-04-06,1.81,-2.24,기타 금융업
2022-04-07,-1.64,-1.45,기타 금융업
2022-04-08,-0.06,-2.62,기타 금융업
2022-04-11,-5.97,-3.57,기타 금융업
2022-04-12,-7.66,-3.1,기타 금융업
2022-04-13,-5.58,-3.33,기타 금융업
2022-04-14,-7.96,-4.94,기타 금융업
2022-04-15,-9.65,-5.28,기타 금융업
2022-04-18,-10.25,-4.23,기타 금융업
2022-04-19,-9.85,-5.37,기타 금융업
2022-04-20,-10.45,-5.35,기타 금융업
2022-04-21,-11.54,-3.88,기타 금융업
2022-04-22,-13.34,-3.95,기타 금융업
2022-04-25,-15.93,-5.34,기타 금융업
2022-04-26,-16.43,-7.86,기타 금융업
2022-04-27,-18.53,-7.37,기타 금융업
2022-04-28,-18.93,-9.95,기타 금융업
2022-04-29,-13.53,-9.73,기타 금융업
2022-05-02,-12.37,-7.52,기타 금융업
2022-05-03,-12.17,-10.83,기타 금융업
2022-05-04,-8.71,-9.99,기타 금융업
2022-05-06,-11.08,-9.62,기타 금융업
2022-05-09,-13.85,-6.99,기타 금융업
2022-05-10,-14.65,-10.13,기타 금융업
2022-05-11,-13.65,-10.67,기타 금융업
2022-05-12,-18.93,-13.43,기타 금융업
2022-05-13,-17.84,-13.22,기타 금융업
2022-05-16,-16.94,-14.58,기타 금융업
2022-05-17,-15.84,-14.64,기타 금융업
2022-05-18,-15.84,-12.68,기타 금융업
2022-05-19,-15.74,-12.99,기타 금융업
2022-05-20,-11.63,-11.29,기타 금융업
2022-05-23,-14.23,-14.71,기타 금융업
2022-05-24,-17.55,-15.27,기타 금융업
2022-05-25,-18.25,-15.25,기타 금융업
2022-05-26,-18.55,-13.68,기타 금융업
2022-05-27,-18.45,-14.29,기타 금융업
2022-05-30,-17.05,-13.59,기타 금융업
2022-05-31,-16.64,-11.92,기타 금융업
2022-06-02,-16.96,-9.77,기타 금융업
2022-06-03,-17.65,-10.26,기타 금융업
2022-06-07,-20.59,-10.69,기타 금융업
2022-06-08,-20.99,-9.06,기타 금융업
2022-06-09,-20.29,-10.5,기타 금융업
2022-06-10,-21.89,-10.26,기타 금융업
2022-06-13,-25.08,-9.4,기타 금융업
2022-06-14,-24.28,-10.37,기타 금융업
2022-06-15,-26.89,-12.42,기타 금융업
2022-06-16,-23.57,-14.93,기타 금융업
2022-06-17,-22.26,-18.12,기타 금융업
2022-06-20,-23.07,-18.32,기타 금융업
2022-06-21,-24.08,-17.18,기타 금융업
2022-06-22,-27.01,-19.83,기타 금융업
2022-06-23,-32.48,-19.62,기타 금융업
2022-06-24,-26.0,-17.71,기타 금융업
2022-06-27,-23.37,-17.88,기타 금융업
2022-06-28,-19.11,-17.04,기타 금융업
2022-06-29,-21.75,-14.53,기타 금융업
2022-06-30,-27.02,-14.84,기타 금융업
2022-07-01,-30.14,-16.63,기타 금융업
2022-07-04,-30.44,-16.92,기타 금융업
2022-07-05,-25.4,-17.56,기타 금융업
2022-07-06,-27.52,-16.28,기타 금융업
2022-07-07,-27.41,-16.14,기타 금융업
2022-07-08,-26.41,-15.85,기타 금융업
2022-07-11,-28.12,-14.65,기타 금융업
2022-07-12,-30.36,-14.7,기타 금융업
2022-07-13,-28.94,-15.64,기타 금융업
2022-07-14,-22.01,-16.4,기타 금융업
2022-07-15,-17.63,-16.77,기타 금융업
2022-07-18,-18.65,-16.99,기타 금융업
2022-07-19,-8.92,-15.46,기타 금융업
2022-07-20,-6.87,-16.14,기타 금융업
2022-07-21,-8.61,-13.93,기타 금융업
2022-07-22,-5.03,-13.4,기타 금융업
2022-07-25,-4.72,-12.55,기타 금융업
2022-07-26,-7.8,-13.32,기타 금융업
2022-07-27,-5.95,-13.24,기타 금융업
2022-07-28,-6.77,-14.25,기타 금융업
2022-07-29,-8.1,-12.07,기타 금융업
2022-08-01,-5.4,-10.99,기타 금융업
2022-08-02,-4.56,-9.72,기타 금융업
2022-08-03,0.03,-9.72,기타 금융업
2022-08-04,2.7,-10.15,기타 금융업
2022-08-05,12.26,-9.12,기타 금융업
2022-08-08,12.41,-9.18,기타 금융업
